date,lme_change,baltic_dry_index,bloomberg_metals_price,bloomberg_metals_change,ftse_index,ftse_index_change,sp_metals_price,sp_metals_change,mosexchange_value,alcoa_price,chalco_price,chalco_adj,hongqiao_price,hongqiao_adj,kaiser_price,norsk_hydro_price,norsk_hydro_adj,rual_price,rual_price_change,rub_to_cny,rub_to_cny_change,usd_to_hkd,usd_to_clp,usd_to_cny,dxy_rate,usd_to_eur,usd_to_jpy,usd_to_rub,china_index,shanghai_index,export_australia_value,import_australia_value,australia_inflation,australia_pmi,export_brazil_value,import_brazil_value,brazil_inflation,brazil_pmi,china_gdp_increment_value,export_china_value,china_inflation_value,china_pmi1_value,china_pmi2_value,eu_inflation_value,guinea_inflation,usa_gdp_increment_value,export_usa_value,import_usa_value,usa_inflation_value,usa_pmi_value,usa_interest_rate_value,log10_lme_volume,log10_alcoa_volume,log10_hongqiao_volume,log10_kaiser_volume,log10_rual_volume,log10_chalco_volume,log10_norsk_hydro_volume,lme_price_smooth
2021-03-28,0.3471428571428571,2210.5714285714284,144.90285714285716,0.1871428571428571,4865.289428571428,-2.132285714285714,1958.1142857142856,0.6857142857142857,10278.265714285715,30.154285714285717,3.3857142857142857,3.278415714285714,10.665714285714284,8.27069257142857,109.61785714285716,50.82999957142857,43.668906,45.97571428571428,1.1485714285714284,0.0859857142857142,-0.0114285714285714,7.767475714285714,727.1828571428571,6.534485714285714,92.51714285714286,0.8462,109.19142857142856,75.7201,1865.9442857142856,2574.891428571428,282.968,166.528,1.1,57.2,85.111,188.62000000000003,4.56,56.5,0.5,2646737.0,1.0,51.5,52.2,1.7,12.6,1.6,853.347,1852469.0,0.2,58.7,0.25,4.5958227313039774,5.449196816171039,7.492349330011422,3.4980094087782647,7.343792655777313,7.8581794929274995,6.831517301556479,2256.4319727891157
2021-04-04,0.0314285714285714,2089.0,143.24928571428572,-0.0414285714285714,4960.246428571429,0.1889285714285714,2042.9071428571428,0.6535714285714286,10616.231428571427,32.61178571428571,3.2885714285714287,3.2407329999999996,10.517142857142858,8.46408,111.27928571428572,54.35428580952381,45.86908714285714,48.955714285714286,1.1228571428571428,0.0861428571428571,-0.0999999999999999,7.774085714285714,722.0114285714286,6.564571428571428,93.00571428571428,0.8501285714285715,110.43,75.98955714285715,1867.8457142857144,2604.477142857143,282.968,166.528,1.1,57.2,85.111,188.62000000000003,4.56,56.5,0.5,2646737.0,1.0,51.5,52.2,1.7,12.6,1.6,853.347,1852469.0,0.2,58.7,0.25,4.475200534833142,5.292753482795256,7.339185414847175,3.3415121007946667,7.084600120919275,7.692467638849202,6.725724680416396,2253.2687074829932
2021-04-11,0.3571428571428571,2101.4285714285716,145.07142857142858,-0.08,5082.533571428571,0.1846428571428571,2036.4428571428568,-0.5828571428571429,10805.281428571428,31.65642857142857,3.539285714285714,3.4472915714285715,11.244285714285716,8.774399571428571,110.82857142857142,54.31571440476191,45.28568978571428,49.06285714285714,0.2557142857142857,0.0848285714285714,-0.2328571428571428,7.7777,713.5242857142857,6.549257142857143,92.27285714285712,0.8413142857142857,109.66571428571427,76.89428571428572,1856.73,2703.9199999999996,351.066,182.761,1.1,56.9,70.259,221.577,5.2,58.4,0.5,2107995.0,0.6,50.9,51.7,1.5,12.6,1.6,851.665,1700733.0,0.4,59.5,0.25,4.425832367268978,5.181544015208585,7.291583467473935,3.220998219499395,6.992113127796026,7.937515804002695,6.703576620000045,2253.506802721088
2021-04-18,0.2671428571428572,2284.0,146.56571428571428,0.2042857142857142,5096.095714285714,0.1885714285714285,2059.5285714285715,0.5042857142857143,11376.192857142858,33.17357142857143,3.76,3.653849857142857,11.571428571428571,9.116200857142855,112.53571428571428,55.054286,46.844252999999995,53.51857142857143,1.3185714285714287,0.0855142857142857,0.2385714285714285,7.770697142857143,704.8028571428571,6.526814285714286,91.65142857142855,0.8350714285714286,108.82285714285716,76.44107142857142,1867.8071428571427,2875.2314285714288,351.066,182.761,1.1,56.9,70.259,221.577,5.2,58.4,0.5,2107995.0,0.6,50.9,51.7,1.5,12.6,1.6,851.665,1700733.0,0.4,59.5,0.25,4.45366475744586,5.465341551671036,7.216746677540522,3.301516521281212,7.479093973776868,7.814680199137551,6.68730496899134,2286.9319727891157
2021-04-25,0.5514285714285714,2678.285714285714,149.71857142857144,0.7442857142857143,5252.895714285715,0.6842857142857143,2074.042857142857,0.6585714285714285,11884.378571428571,34.42285714285714,3.88,3.843660142857143,11.811428571428571,9.356811285714286,111.62714285714286,55.17428542857142,46.83697542857143,53.69285714285714,0.0828571428571428,0.0855571428571428,0.2042857142857142,7.762944285714285,704.59,6.496107142857142,91.04571428571428,0.8292857142857143,108.02,75.92098571428572,1928.5457142857144,3014.325714285714,351.066,182.761,1.1,56.9,70.259,221.577,5.2,58.4,0.5,2107995.0,0.6,50.9,51.7,1.5,12.6,1.6,851.665,1700733.0,0.4,59.5,0.25,4.4278713562601135,5.429492253736455,7.372329787762142,3.260535585613939,7.179331376226164,7.614561483214096,6.606510276683841,2335.6632653061224
2021-05-02,0.1885714285714285,2985.4285714285716,154.97714285714284,0.5142857142857142,5336.420714285714,0.3135714285714285,2118.9142857142856,0.35,11593.014642857142,36.43714285714286,4.122857142857143,3.998578857142857,12.205714285714285,9.622157,120.88428571428572,54.691427857142855,45.975821571428575,52.23892857142857,-1.0346428571428572,0.0863,-0.1157142857142857,7.76281,705.0828571428572,6.476428571428571,90.92,0.8280571428571429,108.83714285714288,74.80305357142856,2014.928571428571,3099.145714285714,351.066,182.761,1.1,56.9,70.259,221.577,5.2,58.4,0.5,2107995.0,0.6,50.9,51.7,1.5,12.6,1.6,851.665,1700733.0,0.4,59.5,0.25,4.511808008856106,5.306284925164028,7.201727029182841,3.5249298899816597,7.17243106390765,7.732803712824057,6.720615965088702,2389.6938775510207
2021-05-09,1.1885714285714286,3196.0,159.46714285714285,0.9185714285714284,5535.71,2.045714285714286,2280.157142857143,1.8285714285714287,11758.193214285711,39.720000000000006,4.515714285714286,4.531722571428571,13.177142857142858,10.526131714285714,133.65857142857143,54.53142871428572,47.02316842857143,54.223214285714285,2.4725,0.0865857142857142,0.0514285714285714,7.767452857142857,699.6842857142857,6.451128571428571,90.73714285714286,0.8272428571428572,108.94714285714284,74.60952499999999,2091.4985714285713,3166.068571428571,309.116,191.75499999999997,1.1,56.8,77.396,259.864,6.1,52.8,0.5,2364978.0,-0.5,50.6,53.1,1.3,12.3,1.6,1012425.0,2252946.0,0.5,59.7,0.25,4.660936989132724,5.361180092596443,7.461756593404719,3.340144779086866,7.359922970293832,8.002095709721488,6.592132560655509,2437.6938775510203
2021-05-16,-0.1614285714285714,3063.4285714285716,160.20714285714286,-0.1157142857142856,5495.67,-0.0657142857142857,2317.371428571428,0.6542857142857142,11961.637142857144,40.01714285714286,4.725714285714285,4.574988285714285,13.171428571428573,10.191076,133.15928571428572,55.12285653571429,47.64015257142857,56.71357142857143,0.48,0.0866285714285714,0.0014285714285714,7.766871428571428,703.8742857142857,6.437642857142857,90.37285714285714,0.8247,109.19428571428573,74.14622857142857,2157.872857142858,3368.8142857142857,309.116,191.75499999999997,1.1,56.8,77.396,259.864,6.1,52.8,0.5,2364978.0,-0.5,50.6,53.1,1.3,12.3,1.6,1012425.0,2252946.0,0.5,59.7,0.25,4.7286952584364,5.381552746155727,7.555952552809901,3.2719854486813515,7.291084525251065,8.071996848389817,6.658388100018188,2504.2653061224487
2021-05-23,-0.5957142857142858,2842.1428571428573,156.8542857142857,-0.4971428571428572,5442.244285714286,0.3128571428571428,2315.7714285714287,0.1,12104.388571428572,37.69571428571429,4.422857142857143,4.3593585,12.051428571428572,9.532209071428571,128.03571428571428,52.4842865,45.11977303571428,56.11928571428571,0.0685714285714285,0.0871428571428571,0.0314285714285714,7.764594285714286,719.1642857142857,6.431057142857143,89.97,0.8200000000000001,108.95,73.70857142857143,2239.4100000000003,3450.574285714286,309.116,191.75499999999997,1.1,56.8,77.396,259.864,6.1,52.8,0.5,2364978.0,-0.5,50.6,53.1,1.3,12.3,1.6,1012425.0,2252946.0,0.5,59.7,0.25,4.731743291048955,5.418559045902154,7.456599801122342,3.171029391574002,7.35175868433626,7.933075859611998,6.767322339864206,2454.0442176870747
2021-05-30,0.6285714285714287,2699.8571428571427,158.44785714285717,0.6828571428571429,5492.982857142857,0.8071428571428572,2345.1785714285716,0.7871428571428571,12042.978571428572,37.50142857142857,4.454285714285715,4.346099428571429,12.38,9.635649857142855,126.94821428571429,52.57714289285714,45.68096246428571,56.25214285714286,0.4,0.0868285714285714,-0.0971428571428571,7.762288571428571,726.8000000000001,6.386314285714286,89.94000000000001,0.8189142857142857,109.37142857142858,73.46234285714286,2318.477142857143,3529.277142857143,309.116,191.75499999999997,1.1,56.8,77.396,259.864,6.1,52.8,0.5,2364978.0,-0.5,50.6,53.1,1.3,12.3,1.6,1012425.0,2252946.0,0.5,59.7,0.25,4.664046496008323,5.344322333635695,7.34377296419241,3.2022917924651293,7.048411226009756,7.768876862676089,6.744658790407497,2406.1496598639455
2021-06-06,-0.0842857142857143,2492.714285714286,158.58357142857145,-0.1714285714285714,5604.624285714285,0.0757142857142857,2391.6928571428575,0.2671428571428572,11989.33857142857,39.611428571428576,4.435714285714285,4.294459571428571,11.865714285714288,9.339130285714289,130.9882142857143,55.10571471428572,47.894673,57.445,0.2142857142857143,0.0871428571428571,0.2128571428571428,7.758945714285715,719.9314285714285,6.388257142857142,90.07285714285716,0.8205142857142856,109.57571428571428,73.21915714285714,2393.4271428571433,3639.03,374.63371428571423,186.56128571428573,2.642857142857143,58.457142857142856,80.02114285714286,256.0571428571428,6.477142857142857,52.51428571428571,0.9571428571428572,2495383.1428571427,-0.3857142857142857,51.34285714285714,54.01428571428572,1.2428571428571429,12.357142857142858,7.542857142857143,1005829.5714285716,2280796.8571428573,0.6142857142857142,61.871428571428574,0.25,4.492349326038757,5.2992098559938094,7.306576561476516,3.047803934232053,6.982900122908061,7.645274536018786,6.522309016999386,2458.312925170068
2021-06-13,0.1628571428571428,2665.1428571428573,158.49,0.2257142857142857,5502.832857142857,-0.4189285714285714,2384.3857142857146,-0.1585714285714285,12034.795714285716,38.06,4.3253571428571425,4.259568071428571,11.123571428571427,9.172243428571427,132.05285714285714,53.95428585714286,46.737532,57.12785714285714,-0.2428571428571428,0.0884285714285714,0.1171428571428571,7.75974,719.1842857142857,6.3954,90.26571428571428,0.8229571428571428,109.57285714285716,72.26708571428571,2466.592857142857,3716.6242857142856,423.772,182.666,3.8,59.7,81.99,253.202,6.76,52.3,1.3,2593187.0,-0.3,51.9,54.7,1.2,12.4,12.0,1000883.0,2301685.0,0.7,63.5,0.25,4.500381234510124,5.29108012502782,7.252350022133065,3.0030025296342875,6.875202193562852,7.669789475252939,6.5626876342754015,2448.0102040816323
