date,value__abs_energy_lme_price_3features_4_weeks,value__abs_energy_peru_producer_price_index_12_weeks,value__absolute_maximum_sp_metals_price_4_weeks,"value__cwt_coefficients__coeff_0__w_20__widths_(2, 5, 10, 20)_peru_consumer_price_index_4_weeks","value__cwt_coefficients__coeff_0__w_5__widths_(2, 5, 10, 20)_peru_consumer_price_index_9_weeks","value__fft_coefficient__attr_""real""__coeff_0_lme_price_3features_2_weeks",value__maximum_lme_price_3features_12_weeks,value__maximum_lme_price_smooth_4_weeks,value__median_peru_producer_price_index_4_weeks,value__minimum_lme_price_3features_9_weeks,value__minimum_log10_hongqiao_volume_12_weeks,value__quantile__q_0.1_hongqiao_price_12_weeks,value__quantile__q_0.3_bloomberg_metals_price_9_weeks,value__quantile__q_0.4_lme_price_smooth_2_weeks,value__quantile__q_0.4_sp_metals_price_12_weeks,value__quantile__q_0.6_mosexchange_price_12_weeks,value__quantile__q_0.6_norsk_hydro_price_9_weeks,value__quantile__q_0.6_peru_producer_price_index_9_weeks,value__quantile__q_0.8_sp_metals_price_12_weeks,value__quantile__q_0.9_export_china_value_12_weeks,value__root_mean_square_lme_price_3features_9_weeks,lme_price_smooth
2021-03-14,18303544.64285714,145099.46330204082,1936.0571428571427,36.54493707405183,128.0374611980571,4358.428571428572,2180.714285714286,2178.71768707483,110.43999999999998,1981.7142857142856,7.028483415180714,7.0724285714285715,135.89307142857143,2163.382993197279,1758.8957142857141,10355.029714285714,40.950571599999996,110.41942857142857,1852.197142857143,2592932.0,2063.469291647854,2160.6428571428573
2021-03-21,18748894.64285714,145605.43880204082,2073.7285714285713,36.54493707405183,128.1429955468513,4350.928571428572,2180.714285714286,2178.71768707483,110.69285714285712,1981.7142857142856,7.028483415180714,7.0724285714285715,135.89307142857143,2167.8727891156464,1794.2249999999997,10355.029714285714,42.71942834285714,110.43999999999998,1905.6335714285715,2613685.3571428573,2079.62843821753,2175.404761904762
2021-03-28,19186708.535714287,146111.4143020408,2073.7285714285713,36.54493707405183,128.31616612078125,4401.642857142857,2228.4285714285716,2178.71768707483,111.28285714285714,1981.7142857142856,7.028483415180714,7.0724285714285715,137.67564285714286,2166.5476190476193,1822.1421428571427,10378.023142857144,46.51228531428571,110.43999999999998,1932.4571428571428,2643662.4285714286,2104.797789636993,2221.394557823129
2021-04-04,19558183.535714284,146605.2042122449,2073.7285714285713,36.52186020465906,128.5459709187206,4492.714285714286,2264.285714285714,2221.394557823129,111.62,1993.2142857142856,7.215548509287954,7.083857142857143,141.42621428571428,2193.800680272109,1837.2178571428572,10355.029714285714,48.386571342857145,110.84457142857141,1953.702857142857,2646737.0,2136.231414406148,2235.044217687075
2021-04-11,19874644.6655102,147025.7502122449,2073.7285714285713,36.498609243406506,128.8083312165054,4513.4857142857145,2264.285714285714,2235.044217687075,111.62,1993.2142857142856,7.215548509287954,7.083857142857143,143.30957142857145,2226.8544217687077,1844.702142857143,10355.029714285714,50.3371424,111.48514285714286,2025.177142857143,2646737.0,2164.1290908595915,2237.28231292517
2021-04-18,20293405.36979592,147713.3679122449,2042.9071428571428,36.498609243406506,128.9513154001751,4516.714285714286,2267.514285714286,2237.28231292517,111.62,2068.214285714286,7.276749254671594,7.159714285714286,143.89657142857143,2235.939455782313,1880.7864285714286,10355.029714285714,51.29942891428571,111.62,2040.8428571428574,2646737.0,2193.9262203812123,2274.0340136054424
2021-04-25,20691367.47183673,148400.9856122449,2059.5285714285715,36.498609243406506,128.92643341017248,4583.5142857142855,2316.0,2274.0340136054424,112.215,2127.9285714285716,7.216746677540522,7.791314285714285,144.746,2251.982993197279,1925.2571428571428,10355.029714285714,52.18171382857143,111.62,2042.7142857142858,2646737.0,2221.264805181775,2333.6190476190473
2021-05-02,21139710.57897959,149088.6033122449,2074.042857142857,36.650531966908886,128.89034116727063,4677.214285714286,2361.214285714286,2333.6190476190473,112.81000000000002,2173.214285714286,7.216746677540522,9.173371428571427,144.746,2297.8680272108845,1944.8799999999999,10371.355714285715,53.144570676190476,111.62,2056.2042857142856,2646737.0,2247.3047785838494,2392.187074829932
2021-05-09,21924080.16346939,149640.41431836734,2118.9142857142856,36.80360079515488,128.8465422386307,4778.5,2417.285714285714,2392.187074829932,112.81000000000002,2173.214285714286,7.201727029182841,9.828314285714285,144.746,2357.046258503401,1989.4457142857143,10525.301714285713,53.88828468571428,112.57200000000002,2070.888571428571,2646737.0,2274.0361655284905,2450.535714285714
2021-05-16,22959814.31122449,150581.16511836735,2280.157142857143,36.80360079515488,128.88010033185682,4902.714285714286,2485.4285714285716,2450.535714285714,112.81000000000002,2173.214285714286,7.201727029182841,9.957285714285714,144.97028571428572,2415.526530612245,2038.6428571428573,10729.661428571428,54.12628515238095,112.81000000000002,2073.98,2646737.0,2308.8255795883438,2505.299319727891
2021-05-23,23827757.295918368,151521.91591836736,2317.3714285714286,36.80360079515488,129.04390676604066,4981.785714285714,2496.3571428571427,2505.299319727891,113.715,2228.4285714285716,7.201727029182841,10.326,145.096,2472.441156462585,2042.3285714285714,11147.828285714286,54.6828574,112.81000000000002,2109.94,2646737.0,2344.8529606995803,2434.5340136054424
2021-05-30,24173999.00510204,152462.66671836737,2317.3714285714286,36.79261180972975,129.28151403181107,4929.785714285714,2496.3571428571427,2505.299319727891,114.62,2249.2,7.201727029182841,10.533142857142856,145.66914285714287,2462.8401360544217,2049.555714285714,11506.28592857143,54.6828574,112.81000000000002,2247.9085714285716,2646737.0,2367.38719970632,2366.391156462585
2021-06-06,24134526.006377548,153291.45960000003,2345.1785714285716,36.77329818435016,129.56985697869078,4842.535714285714,2496.3571428571427,2505.299319727891,114.62,2249.2,7.201727029182841,10.793714285714286,147.82685714285714,2393.648299319728,2065.2085714285713,11692.121785714284,54.6828574,114.25800000000001,2308.6485714285714,2646737.0,2383.216939112317,2421.860544217687
2021-06-13,23920709.25255102,153968.86968979595,2391.692857142857,36.76499426961711,129.87048771861612,4851.142857142857,2496.3571428571427,2505.299319727891,114.62,2267.514285714286,7.201727029182841,10.793714285714286,151.822,2388.5789115646257,2065.3342857142857,11833.904428571428,54.82142808571429,114.61885714285715,2317.0514285714285,2646737.0,2404.2126130720794,2436.9591836734694
2021-06-20,23716285.987244897,154645.29738979595,2391.692857142857,36.76499426961711,129.85429356564694,4897.107142857143,2496.3571428571427,2436.9591836734694,114.61714285714285,2316.0,7.201727029182841,10.793714285714286,155.72799999999998,2427.9,2091.9914285714285,11930.733714285714,54.82142808571429,114.61885714285715,2339.617142857143,2641382.0,2424.5938785510098,2462.7448979591836
2021-06-27,23635564.56377551,155321.72508979595,2391.692857142857,36.779279950669775,129.82822035831182,4871.857142857143,2496.3571428571427,2462.7448979591836,114.61214285714286,2361.214285714286,7.201727029182841,10.793714285714286,155.72799999999998,2447.273469387755,2156.9771428571426,11930.733714285714,54.6828574,114.61885714285715,2339.617142857143,2593187.0,2435.498955768356,2389.982993197279
2021-07-04,23751256.338010203,155998.15278979595,2391.692857142857,36.8293876055054,129.79447363887544,4849.785714285714,2496.3571428571427,2462.7448979591836,114.61,2409.1071428571427,7.201727029182841,10.494785714285713,155.72799999999998,2419.087755102041,2197.142857142857,11930.733714285714,54.076570942857145,114.61885714285715,2339.617142857143,2593187.0,2443.3368023822018,2472.3537414965986
2021-07-11,24160818.158163264,156489.50062653064,2384.3857142857146,36.86537123601531,129.76419896747672,4957.5,2524.5,2472.3537414965986,114.61,2409.1071428571427,7.201727029182841,10.423357142857142,156.0985,2422.931292517007,2199.5835714285713,11930.733714285714,54.608000200000006,114.62,2339.617142857143,2593187.0,2455.3542988150916,2509.006802721088
2021-07-18,24407036.091836736,157186.94412653064,2214.0714285714284,36.86537123601531,129.7818095682622,5029.214285714286,2524.5,2509.006802721088,114.78857142857143,2409.1071428571427,7.201727029182841,10.423357142857142,155.62721428571427,2487.0149659863946,2199.6007142857143,11930.733714285714,54.608000200000006,114.62,2339.617142857143,2620040.685714286,2457.5308535143677,2473.1802721088434
2021-07-25,24791207.903061226,157884.38762653063,2189.953571428571,36.86537123601531,129.84266022696738,4999.714285714286,2524.5,2509.006802721088,115.41357142857143,2409.1071428571427,7.201727029182841,10.423357142857142,155.62721428571427,2487.5108843537414,2199.6007142857143,11898.041714285715,54.84228591428571,114.62,2339.617142857143,2690158.6428571427,2457.3777143550947,2457.768707482993
2021-08-01,24991334.663265307,158581.83112653063,2189.953571428571,36.94614027888999,129.92563089204495,4968.785714285714,2524.5,2509.006802721088,115.86,2409.1071428571427,7.224897498411856,10.314785714285716,155.62721428571427,2463.933333333333,2199.6007142857143,11898.041714285715,55.366856657142854,114.89771428571429,2339.617142857143,2697618.0,2461.850889677223,2512.329931972789
2021-08-08,25169640.31122449,158867.62632653062,2252.5285714285715,37.04098015041972,130.02222885868878,5033.357142857143,2559.5714285714284,2512.329931972789,115.86,2416.785714285714,7.224897498411856,10.246285714285715,155.62721428571427,2479.5931972789112,2199.6007142857143,11898.041714285715,55.824571057142855,115.68142857142857,2339.617142857143,2697618.0,2478.6644454722586,2601.3571428571427
2021-08-15,25651218.94897959,159153.42152653064,2252.5285714285715,37.05454321115038,130.1368503804795,5158.642857142857,2599.0714285714284,2601.3571428571427,115.86,2416.785714285714,7.149999380029001,10.058714285714288,155.62721428571427,2547.9408163265302,2199.6007142857143,11760.245142857142,55.998286571428565,115.86,2339.297142857143,2697618.0,2496.344677950901,2584.503401360544
2021-08-22,26130964.362244897,159439.21672653063,2317.557142857143,37.05454321115038,130.2310351364474,5188.428571428571,2599.0714285714284,2601.3571428571427,115.86,2416.785714285714,7.149999380029001,10.058714285714288,155.62721428571427,2591.2448979591836,2199.6007142857143,11671.850285714287,56.05828628571428,115.86,2339.654285714286,2810308.285714286,2511.3746889365775,2606.336734693878
2021-08-29,26653750.25510204,159725.01192653063,2317.557142857143,37.161136369774106,130.371872480772,5166.642857142857,2599.0714285714284,2606.336734693878,115.86,2433.0,7.149999380029001,10.058714285714288,155.79478571428572,2593.2367346938777,2189.9364285714287,11578.262285714287,58.10057128571429,115.86,2304.551428571429,2841611.1428571427,2529.0440424610015,2616.7074829931976
2021-09-05,27054889.089604594,160012.1170367347,2317.557142857143,37.34847853595609,130.54622253937126,5214.053571428572,2636.7678571428573,2616.7074829931976,115.86,2473.785714285714,7.149999380029001,10.058714285714288,156.04485714285713,2610.485034013606,2189.9364285714287,11480.288571428571,58.71828531428571,115.86,2251.1428571428573,2843698.0,2551.636286577891,2687.586734693877
2021-09-12,27602740.46747449,160820.22608775512,2317.557142857143,37.429026508866734,130.79088424715326,5339.178571428572,2702.410714285714,2687.586734693877,115.86,2473.785714285714,7.149999380029001,10.058714285714288,156.44257142857143,2645.0591836734693,2189.9364285714287,11480.288571428571,58.7571422,115.86,2251.1428571428573,2843698.0,2571.8033679267705,2757.302721088435
