date,lme_price
2021-09-19,2876.285714285714
2021-09-26,2901.1428571428573
2021-10-03,2889.714285714286
2021-10-10,2953.714285714286
2021-10-17,3118.214285714286
2021-10-24,2981.5714285714284
2021-10-31,2755.6428571428573
2021-11-07,2620.0714285714284
2021-11-14,2636.6428571428573
2021-11-21,2644.6428571428573
2021-11-28,2662.785714285714
2021-12-05,2621.9285714285716
2021-12-12,2619.5714285714284
2021-12-19,2666.6428571428573
2021-12-26,2798.657142857143
2022-01-02,2815.932142857143
2022-01-09,2896.3035714285716
2022-01-16,2969.4285714285716
2022-01-23,3041.785714285714
2022-01-30,3071.285714285714
2022-02-06,3052.785714285714
2022-02-13,3188.4285714285716
2022-02-20,3250.1428571428573
2022-02-27,3336.1428571428573
2022-03-06,3652.8571428571427
2022-03-13,3470.285714285714
