date,value__sum_values_chalco_price_2_weeks,value__index_mass_quantile__q_0.4_usa_inflation_value_26_weeks,value__absolute_maximum_usd_to_rub_2_weeks,value__time_reversal_asymmetry_statistic__lag_3_brazil_pmi_26_weeks,"value__fft_aggregated__aggtype_""centroid""_log10_norsk_hydro_volume_12_weeks",value__c3__lag_3_norsk_hydro_price_12_weeks,value__time_reversal_asymmetry_statistic__lag_2_export_australia_value_26_weeks,target
2019-12-15,4.815714285714286,0.4615384615384615,64.02571428571429,3551.9982857142813,0.0406301791908722,35881.28534593798,-227149.97855970985,1816.639455782313
2019-12-22,4.918571428571429,0.5,63.971357142857144,3766.346877551015,0.0532643939547752,35960.344259327285,-744552.418669033,1804.1530612244896
2019-12-29,5.105714285714285,0.5384615384615384,63.23591428571429,3702.119528571424,0.0447906014873431,36107.830977769016,-1116891.1776868606,1805.938775510204
2020-01-05,5.17,0.5769230769230769,62.49428571428571,3498.931657142852,0.0647113566506403,36107.85802067304,-1465977.6845806642,1759.2619047619048
2020-01-12,5.3064285714285715,0.6153846153846154,62.11542857142857,3140.910720408157,0.0647308818130406,36209.29448949069,-1481473.736294408,1710.7414965986395
2020-01-19,5.385,0.6153846153846154,62.01817857142857,2798.054363265301,0.0597793421951315,35863.594307072206,-1532977.0370623795,1722.6666666666663
2020-01-26,5.317142857142858,0.5769230769230769,61.533835714285715,2736.835818367342,0.0575319997339457,35365.352184074756,-1578572.310427562,1721.4081632653065
2020-02-02,5.143714285714286,0.5769230769230769,61.817457142857144,3006.533568367343,0.0575078446912016,35032.12531265687,-1624355.895755774,1703.2925170068029
2020-02-09,4.82,0.5384615384615384,62.909299999999995,3228.8096397959152,0.0594172115059594,33947.86154551808,-1651412.9416590868,1707.829931972789
2020-02-16,4.590571428571429,0.5384615384615384,63.49141428571428,2970.138139795915,0.0797142714806458,33121.613755703926,-976030.3811266916,1687.469387755102
2020-02-23,4.522857142857143,0.5384615384615384,63.66737142857143,2622.2827397959168,0.0854939379461768,32327.354753289255,-295199.65182321554,1654.2721088435374
2020-03-01,4.538571428571428,0.5384615384615384,63.84331785714286,1792.8310306122453,0.0657534100702991,31270.66030192859,352210.24655709584,1566.3061224489795
2020-03-08,4.424285714285714,0.5384615384615384,65.41664642857143,706.7735806122473,0.0945590389301509,29967.23061958682,959956.3011599582,1521.1292517006802
2020-03-15,4.241428571428571,0.5384615384615384,67.03066071428572,-511.3820418367344,0.0762787470641827,28434.063394385787,712962.8141039622,1479.71768707483
2020-03-22,3.934285714285714,0.5,71.94031785714286,-1588.8716826530624,0.1390452522824046,26371.920009956044,445360.0993319142,1496.5136054421769
2020-03-29,3.474285714285714,0.5,77.40215714285715,-2120.022975510206,0.1136371301992417,24221.366607677683,256831.2844057316,1505.9591836734694
2020-04-05,3.184285714285714,0.5,78.53977142857141,-2863.5689826530643,0.0911435115616132,22075.42667348847,86765.34677848406,1504.5204081632653
2020-04-12,3.0585714285714287,0.4615384615384615,78.53977142857141,-3114.215079591841,0.0861666554147184,19661.53788221197,114569.51829587328,1486.7159863945578
2020-04-19,3.1711428571428573,0.4230769230769231,78.04074285714286,-2816.129036734699,0.0732596674104015,17643.83633433332,-13826.78124236324,1484.4557823129253
2020-04-26,3.2942857142857145,0.4230769230769231,75.0358142857143,-2668.8490326530655,0.092653523338805,15830.17701280947,-140033.06056942418,1491.9931972789116
2020-05-03,3.1674285714285713,0.3846153846153846,75.22327142857144,-2287.914712244903,0.087869087035323,14409.837343174802,-373011.95783845097,1520.608843537415
