date,lme_price,lme_volume,lme_change,baltic_dry_index,bloomberg_metals_price,bloomberg_metals_change,ftse_index,ftse_index_change,sp_metals_price,sp_metals_change,mosexchange_value,alcoa_price,alcoa_volume,chalco_price,chalco_adj,chalco_volume,hongqiao_price,hongqiao_adj,hongqiao_volume,kaiser_price,kaiser_volume,norsk_hydro_price,norsk_hydro_adj,norsk_hydro_volume,rual_price,rual_volume,rual_price_change,rub_to_cny,rub_to_cny_change,usd_to_hkd,USD_CLP_rate,USD_CNY_rate,DXY_rate,USD_EUR_rate,USD_JPY_rate,USD_RUB_rate,china_index,shanghai_index,export_australia_value,import_australia_value,australia_inflation,australia_pmi,export_brazil_value,import_brazil_value,brazil_inflation,brazil_pmi,china_gdp_increment_value,export_china_value,import_china_value,china_inflation_value,china_bid_value,china_pmi1_value,china_pmi2_value,eu_inflation_value,guinea_inflation,rus_inflation_value,rus_pmi_value,usa_gdp_increment_value,export_usa_value,import_usa_value,usa_inflation_value,usa_pmi_value,usa_bid_value
2022-12-25,2384.914285714286,29150.571428571428,-0.08028571428571427,1569.9610389610389,163.99428571428572,0.3435714285714286,5268.248571428571,-0.6057142857142858,2586.5,0.6032142857142857,5830.7699999999995,43.978571428571435,63349.28571428572,3.3208571428571427,3.270829742857143,15353624.714285715,7.342,7.191497628571429,8204187.9428571435,76.72357142857143,1005.0714285714286,71.61857171428572,66.20703971428571,3505214.1071428573,40.11857142857143,12498571.42857143,0.8414285714285714,0.10028571428571428,-1.11,7.7909942857142855,878.1085714285715,6.976871428571428,104.31642857142857,0.9419857142857142,133.11714285714285,68.62,1297.1885714285713,1107.2214285714285,329.451,199.20700000000002,7.8,51.3,113.346,186.464,5.9,44.3,0.8,3128329.0,911.781,0.1,3.65,49.2,47.0,5.97,8.66,0.4,53.2,0.7,1194861.0,2885723.0,0.2,46.4,4.5
2023-01-01,2376.692857142857,31441.214285714286,-0.7004285714285715,1370.4545454545455,165.62857142857143,0.0010714285714285485,5258.572857142857,0.12821428571428567,2565.5750000000003,-0.4232142857142857,5885.04357142857,45.20035714285715,87066.92857142857,3.3405714285714287,3.333187042857143,17655777.07142857,7.400142857142858,7.315054835714286,8200096.450000001,76.11089285714286,1403.107142857143,73.175715,67.08632828571429,1852444.392857143,40.32767857142857,4801428.571428572,0.09750000000000004,0.09668571428571429,-0.5971428571428571,7.7986957142857145,858.0428571428571,6.936271428571429,103.89214285714286,0.9379285714285714,132.3957142857143,70.98553571428572,1266.9042857142856,1094.29,329.451,199.20700000000002,7.8,51.3,113.346,186.464,5.9,44.3,0.8,3128329.0,911.781,0.1,3.65,49.2,47.0,5.97,8.66,0.4,53.2,0.7,1194861.0,2885723.0,0.2,46.4,4.5
2023-01-08,2312.8928571428573,53454.642857142855,0.30500000000000016,1177.8701298701296,163.84142857142857,0.41607142857142865,5332.555714285714,1.0167857142857142,2618.5321428571433,1.3107142857142855,5905.402142857143,46.003214285714286,103822.5,3.38,3.397874785714286,29587441.64285714,7.560714285714285,7.463014607142857,17461572.535714287,79.22517857142857,1474.4642857142858,71.97142799999999,66.15388971428571,3785727.5714285714,40.70410714285714,2772857.1428571427,0.3946428571428572,0.0955,0.3271428571428571,7.8092114285714285,847.6085714285715,6.860514285714286,104.08214285714287,0.9412285714285715,131.96714285714285,71.42696428571429,1240.3642857142859,1052.6485714285716,392.1432857142857,201.8615714285714,7.8,50.67142857142857,99.822,221.31199999999998,5.837142857142857,44.24285714285714,0.8,2986069.8571428573,869229.3972857142,-0.15714285714285717,3.65,49.371428571428574,47.74285714285714,6.089999999999999,8.557142857142855,0.6285714285714287,53.08571428571429,0.7,1159272.4285714286,2539733.0,0.14285714285714285,45.6,4.5
2023-01-15,2538.785714285714,63914.28571428572,2.1885714285714286,1013.1428571428571,171.12821428571428,1.105357142857143,5487.357142857143,0.5,2816.375,1.0192857142857144,5956.922857142857,52.16392857142857,160442.2857142857,3.801428571428571,3.799348857142857,39819420.71428572,8.234285714285715,8.133542857142857,25856557.0,86.9357142857143,767.5357142857143,75.26571428571428,69.86526914285714,3752109.285714286,40.83428571428572,4872857.142857143,0.31428571428571433,0.0991,0.8714285714285713,7.808418571428571,822.0171428571429,6.7411,102.62142857142858,0.9263857142857143,130.01714285714286,69.27821428571428,1189.847142857143,1030.9428571428573,402.592,202.304,7.8,50.2,97.568,227.12000000000003,5.79,44.2,0.8,2962360.0,1013949.0,-0.2,3.65,49.4,48.3,6.18,8.54,0.8,53.0,0.7,1153341.0,2482068.0,0.1,45.0,4.5
2023-01-22,2617.5,45295.71428571428,0.35857142857142854,829.7142857142857,175.51964285714286,0.21392857142857144,5674.233,1.3914285714285715,2844.460714285714,0.2807142857142858,6039.0,52.276785714285715,191069.42857142858,3.9585714285714286,3.9582437142857145,30554060.285714287,8.632142857142858,8.634944928571429,19533371.285714287,86.59928571428573,2256.3928571428573,79.999999,73.90998714285715,4359448.142857143,41.019285714285715,9845714.285714285,0.33999999999999997,0.0985,-0.1957142857142857,7.821301428571429,817.5200000000001,6.767542857142857,102.17714285714285,0.9232142857142858,129.10999999999999,68.79214285714286,1146.1357142857144,1023.2185714285714,402.592,202.304,7.8,50.2,97.568,227.12000000000003,5.79,44.2,0.8,2962360.0,1013949.0,-0.2,3.65,49.4,48.3,6.18,8.54,0.8,53.0,0.7,1153341.0,2482068.0,0.1,45.0,4.5
2023-01-29,2632.5714285714284,30410.0,-0.1757142857142857,696.1428571428571,177.0957142857143,-0.18857142857142856,5838.531999999999,2.02,2906.371428571428,0.08857142857142855,6145.628571428571,51.60785714285714,95822.42857142857,4.14,4.153860714285714,48316899.0,9.038571428571428,8.931004285714286,12424480.142857144,87.0442857142857,1088.857142857143,80.97714342857144,74.32207185714286,3166710.714285714,41.58714285714286,11854285.714285715,0.6371428571428571,0.09709999999999999,-0.6328571428571428,7.829137142857143,805.3814285714286,6.778885714285715,101.95428571428572,0.9191571428571429,130.10714285714286,69.15,1110.0,1006.89,402.592,202.304,7.8,50.2,97.568,227.12000000000003,5.79,44.2,0.8,2962360.0,1013949.0,-0.2,3.65,49.4,48.3,6.18,8.54,0.8,53.0,0.7,1153341.0,2482068.0,0.1,45.0,4.5
2023-02-05,2593.5,46247.142857142855,-0.7699999999999999,645.5714285714286,173.31,-1.0814285714285714,5958.401428571428,0.07714285714285711,2948.9142857142856,-0.1928571428571429,6496.4457142857145,52.85,116082.42857142857,4.2457142857142856,4.148211142857143,47843563.85714286,9.104285714285714,8.831145714285714,27925090.42857143,89.37428571428572,1559.4285714285713,80.45142914285714,74.02810028571427,4504184.571428572,42.23285714285714,14705714.285714285,-0.3357142857142858,0.09591428571428572,-0.1542857142857143,7.839634285714285,794.6457142857142,6.758557142857143,102.40142857142857,0.9217714285714286,130.44285714285715,70.19892857142857,1116.6,1003.5385714285713,390.98742857142855,181.44914285714285,7.685714285714285,50.17142857142858,100.06285714285714,202.228,5.7871428571428565,44.67142857142858,1.0142857142857142,2950601.1428571427,1013748.4285714285,-0.08571428571428573,3.65,49.17142857142857,48.699999999999996,6.195714285714286,8.574285714285713,0.8,52.94285714285714,0.8428571428571427,1083678.142857143,2546961.714285714,0.15714285714285717,45.25714285714286,4.5
2023-02-12,2475.9285714285716,49790.0,-1.2257142857142858,603.4285714285714,166.60857142857142,-0.9085714285714285,5882.111428571428,-0.41,2860.0285714285715,-0.6228571428571429,6548.538571428572,51.015,95899.0,4.1814285714285715,4.129849714285714,36551037.571428575,8.638571428571428,8.454215142857143,14710061.857142856,86.64428571428572,3559.8571428571427,80.64571371428572,74.06222428571428,4756486.571428572,41.31071428571429,18312857.14285714,-0.3728571428571429,0.09362857142857142,-0.36,7.848425714285715,798.4871428571429,6.797671428571428,103.47,0.9333142857142857,131.69285714285715,72.05607142857143,1121.942857142857,989.3028571428571,382.284,165.808,7.0,50.0,101.934,183.559,5.7700000000000005,47.5,2.3,2941782.0,1013598.0,0.0,3.65,49.0,51.1,6.29,8.6,0.8,52.6,1.7,1031431.0,2595632.0,0.5,46.8,4.5
2023-02-19,2404.5,44735.71428571428,0.0671428571428572,554.0,163.94,0.14678571428571432,5837.364285714286,0.09285714285714278,2877.3571428571427,-0.3507142857142856,6291.641428571429,47.89928571428572,112361.17857142857,4.101428571428571,4.100189285714285,24889851.285714287,8.331428571428571,8.296692,30304952.42857143,87.38607142857143,4303.928571428572,77.18571357142856,71.34299585714285,4641293.857142857,39.37214285714286,13920000.0,-0.7557142857142859,0.0927,0.13428571428571429,7.848101428571428,790.9885714285714,6.849042857142857,103.7057142857143,0.9345714285714285,133.72714285714287,74.22678571428571,1089.392857142857,966.6657142857142,382.284,165.808,7.0,50.0,101.934,183.559,5.7700000000000005,47.5,2.3,2941782.0,1013598.0,0.0,3.65,49.0,51.1,6.29,8.6,0.8,52.6,1.7,1031431.0,2595632.0,0.5,46.8,4.5
2023-02-26,2396.1428571428573,38734.28571428572,-0.49428571428571416,762.4285714285714,162.79285714285714,-0.2132142857142858,5924.858571428572,0.15571428571428572,2788.671428571429,-0.7578571428571428,6364.879999999999,47.754999999999995,116976.60714285714,4.274285714285715,4.211768857142856,34441025.571428575,8.84,8.701751714285715,28697157.0,81.32035714285713,4636.357142857143,77.89999928571429,71.04114985714286,4744770.142857143,39.64214285714286,11474285.714285715,0.03071428571428574,0.09184285714285714,0.03428571428571429,7.844264285714286,813.4799999999999,6.910628571428572,104.61571428571428,0.9428,135.42000000000002,74.99875,1072.0157142857145,942.222857142857,382.284,165.808,7.0,50.0,101.934,183.559,5.7700000000000005,47.5,2.3,2941782.0,1013598.0,0.0,3.65,49.0,51.1,6.29,8.6,0.8,52.6,1.7,1031431.0,2595632.0,0.5,46.8,4.5
