date,lme_price,lme_price_3features,lme_volume,bloomberg_metals_price,bloomberg_metals_change,ftse_index,ftse_index_change,sp_metals_price,sp_metals_change,mosexchange_price,mosexchange_change,baltic_dry_index,baltic_dry_index_change,usd_clp_price,usd_clp_change,usd_cny_price,usd_cny_change,usd_jpy_price,usd_jpy_change,usd_eur_price,usd_eur_change,usd_rub_price,usd_rub_change,dxy_price,dxy_change,chalco_price,chalco_volume,hongqiao_price,hongqiao_volume,norsk_hydro_price,norsk_hydro_volume,rusal_price,rusal_volume,alcoa_price,alcoa_volume,kaiser_price,kaiser_volume,australia_fed_rate_value,brazil_pmi_value,brazil_inflation_value,brazil_fed_rate_value,china_gdp_value,china_pmi_value,china_inflation_value,china_fed_rate_value,china_composite_pmi_value,peru_gdp_value,peru_fed_rate_value,peru_producer_price_index,peru_consumer_price_index,usa_gdp_value,usa_fed_rate_value,usa_inflation_value,usa_pmi_value,import_brazil_value,export_brazil_value,import_usa_value,export_usa_value,import_china_value,export_china_value,import_australia_value,export_australia_value
2021-01-14,2010.5,2009.0,1285125.0,137.39,0.84,15584.67,-2.08,1863.9,1.37,10791.96,1.1,1792.0,-3.45,726.23,-1.49,6.4736,0.09,103.79,-0.06,0.8224,-0.01,73.2179,-0.74,103.79,-0.06,2.69,44214313.0,6.98,18382599.0,42.0,7151114.0,3.85,5627000.0,25.09,3991400.0,105.989998,89900.0,,,,,,,,3.85,,,0.25,,,,,,,,,,,,,,
2021-01-15,2000.5,1998.5,1288675.0,135.34,-1.5,15563.88,-0.13,1802.4,-3.3,10618.82,-1.6,1754.0,-2.12,734.55,1.15,6.48,0.1,103.87,0.08,0.8277,0.64,73.6309,0.56,103.87,0.08,2.7,39514276.0,6.93,11690649.0,40.16,7444548.0,3.9,3737000.0,23.280001,5866800.0,102.980003,119300.0,,,,,,,,3.85,,,,,,,,,,,,,,,,,
2021-01-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-18,1979.5,1984.0,1397075.0,,,15692.59,0.83,,,10607.32,-0.11,1740.0,-0.8,733.5,-0.14,6.4902,0.16,103.69,-0.17,0.8278,0.01,74.0232,0.53,103.69,-0.17,2.65,35449088.0,6.9,10131000.0,40.380001,2735615.0,3.83,4334561.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-19,1951.5,1958.5,1414675.0,135.35,0.01,15490.61,-1.29,1824.9,1.25,10572.86,-0.32,1766.0,1.49,737.0,0.48,6.4777,-0.19,103.89,0.19,0.8244,-0.41,73.6709,-0.48,103.89,0.19,2.6,52406605.0,6.88,16257500.0,39.810001,5352951.0,3.87,6446000.0,23.09,5737700.0,103.690002,97600.0,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-20,1976.0,1977.0,1417050.0,136.18,0.62,15610.99,0.78,1817.1,-0.43,10744.72,1.63,1828.0,3.51,721.87,-2.05,6.465,-0.2,103.52,-0.36,0.8259,0.18,73.5241,-0.2,103.52,-0.36,2.65,44054383.0,7.06,19240960.0,40.52,6076692.0,3.82,4823000.0,22.84,5578300.0,102.709999,61700.0,,,,2.0,,,,3.85,,,,,,,,,,,,,,,,,
2021-01-21,1992.5,1994.5,1419250.0,136.63,0.33,15842.63,1.48,1759.9,-3.15,10714.93,-0.28,1837.0,0.49,717.15,-0.65,6.4595,-0.09,103.48,-0.04,0.822,-0.47,73.834,0.42,103.48,-0.04,2.8,108589503.0,7.48,34183799.0,40.139999,5099973.0,3.86,8522000.0,20.01,22833800.0,100.760002,104300.0,,,,,,,,3.85,,,,,,,,,,,,,,,,,
2021-01-22,1975.5,1976.0,1416775.0,136.21,-0.31,15801.76,-0.26,1760.7,0.05,10582.57,-1.24,1810.0,-1.47,727.38,1.43,6.481,0.33,103.77,0.28,0.8218,-0.02,75.2899,1.97,103.77,0.28,2.6,57431000.0,7.05,20503000.0,39.389999,5614457.0,3.71,5350057.0,19.4,11183400.0,99.610001,50800.0,,,,,,,,3.85,,,,,,,,,,,,,,,,,
2021-01-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-25,2011.5,2006.0,1412925.0,136.44,0.17,15949.65,0.94,1733.6,-1.54,10589.05,0.06,1765.0,-2.49,732.75,0.74,6.4784,-0.04,103.73,-0.04,0.8237,0.23,75.346,0.07,103.73,-0.04,2.61,29120166.0,7.32,19435640.0,38.650002,5732187.0,3.66,6131000.0,19.34,7926900.0,97.769997,82400.0,,,,,,,,3.85,,,,,,,,,,,,,,,,,
2021-01-26,2025.0,2018.0,1419775.0,135.69,-0.55,15645.88,-1.9,1691.8,-2.41,10595.96,0.07,1659.0,-6.01,732.95,0.03,6.4635,-0.23,103.6,-0.13,0.8222,-0.18,75.0963,-0.33,103.6,-0.13,2.53,33205550.0,7.2,15054060.0,38.540001,5062740.0,3.61,2972000.0,18.559999,5928800.0,95.309998,65600.0,,,,,,,,3.85,,,,,,,,,,,,,,,,,
2021-01-27,2003.5,2003.5,1428225.0,133.38,-1.7,15704.96,0.38,1651.8,-2.36,10364.94,-2.18,1540.0,-7.17,738.33,0.73,6.4822,0.29,104.09,0.47,0.8256,0.41,75.8464,1.0,104.09,0.47,2.46,44488932.0,7.24,20336732.0,36.990002,7644758.0,3.59,10417000.0,18.66,9215300.0,91.099998,108200.0,,,,,,,,3.85,,,,,,,0.25,,,,,,,,,,
2021-01-28,1979.0,1978.5,1424175.0,133.43,0.04,15267.15,-2.79,1693.4,2.52,10339.45,-0.25,1470.0,-4.55,735.73,-0.35,6.4491,-0.51,104.21,0.12,0.8247,-0.11,75.9592,0.15,104.21,0.12,2.41,37557071.0,7.01,27910141.0,37.439999,6215424.0,3.47,4135000.0,18.5,7028600.0,91.57,99800.0,,,,,,,,3.85,,,,,,,,,,,,,,,,,
2021-01-29,1987.0,1987.5,1431050.0,132.72,-0.54,15217.73,-0.32,1650.9,-2.51,10148.9,-1.84,1452.0,-1.22,734.59,-0.15,6.425,-0.37,104.68,0.45,0.8239,-0.1,75.7404,-0.29,104.68,0.45,2.36,46676901.0,6.85,19910551.0,38.119999,8579065.0,3.47,2579000.0,18.0,7772500.0,86.699997,108700.0,,,,,,,,3.85,,,,,,,,,,,,,,,,,
2021-01-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,48.9,4.56,,,51.5,1.0,,52.2,,,111.62,94.66,,,0.2,58.7,188620.0,85111.0,1852469.0,853347.0,942261.0,2646737.0,166528.0,282968.0
2021-02-01,1985.5,1982.5,1428175.0,132.55,-0.13,15386.8,1.11,1723.6,4.4,10344.68,1.93,1444.0,-0.55,733.5,-0.15,6.4669,0.65,104.91,0.22,0.8291,0.63,76.1354,0.52,104.91,0.22,2.43,32505447.0,7.1,29631653.0,37.889999,3965029.0,3.52,3341000.0,18.82,9127400.0,89.150002,96900.0,,,,,,,,3.85,,,,,,,,,,,,,,,,,
2021-02-02,1958.0,1962.5,1421725.0,132.08,-0.35,15607.01,1.43,1701.1,-1.3,10420.96,0.74,1380.0,-4.43,732.44,-0.14,6.4551,-0.18,104.97,0.06,0.8302,0.13,76.224,0.12,104.97,0.06,2.57,42665639.0,7.34,22592634.0,37.830002,4433710.0,3.52,2336000.0,19.110001,7218500.0,93.18,180900.0,0.1,,,,,,,3.85,,,,,,,,,,,,,,,,,
2021-02-03,1973.0,1972.0,1425225.0,133.03,0.72,15555.19,-0.33,1701.2,0.01,10351.65,-0.67,1327.0,-3.84,732.38,-0.01,6.4579,0.04,105.01,0.04,0.831,0.1,75.9423,-0.37,105.01,0.04,2.56,32229477.0,7.26,11863214.0,38.889999,5091042.0,3.53,5671000.0,19.9,10453700.0,93.849998,88200.0,,,,,,,,3.85,,,,,,,,,,,,,,,,,
2021-02-04,1979.5,1984.0,1415125.0,133.38,0.26,15521.53,-0.22,1723.4,1.3,10326.15,-0.25,1327.0,0.0,735.4,0.41,6.4715,0.21,105.54,0.5,0.8359,0.59,75.5065,-0.57,105.54,0.5,2.5,22959678.0,7.28,22932256.0,39.5,6579710.0,3.55,10292000.0,20.360001,5516700.0,97.199997,103900.0,,,,,,,,3.85,,,,,,,,,,,,,,,,,
2021-02-05,2007.5,2012.0,1406525.0,135.65,1.71,15478.78,-0.28,1761.7,2.22,10291.58,-0.33,1333.0,0.45,738.76,0.46,6.4664,-0.08,105.36,-0.17,0.8302,-0.68,74.6528,-1.13,105.36,-0.17,2.51,27446899.0,8.01,53141865.0,39.669998,6524171.0,3.55,7681140.0,20.950001,5242700.0,98.629997,101400.0,,,,,,,,3.85,,,,,,,,,,,,,,,,,
2021-02-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-08,2025.5,2027.5,1402625.0,136.44,0.58,15733.99,1.65,1830.3,3.9,10388.6,0.94,1317.0,-1.2,735.2,-0.48,6.4444,-0.34,105.22,-0.13,0.8299,-0.04,74.3034,-0.47,105.22,-0.13,2.7,64010038.0,8.52,48847017.0,40.5,4990557.0,3.63,7587571.0,21.799999,8282900.0,105.589996,143600.0,,,,,,,,3.85,,,,,,,,,,,,,,,,,
