date;alcoa_price;alcoa_volume
11.04.2019;28.9200000;2680766
12.04.2019;28.9000000;2318415
15.04.2019;28.3800000;3323551
16.04.2019;27.8000000;3715874
17.04.2019;27.9800000;4313929
18.04.2019;27.3600000;8466769
22.04.2019;26.5200000;5042289
23.04.2019;28.0800000;3914482
24.04.2019;28.4900000;2428880
25.04.2019;28.0400000;2733084
26.04.2019;27.0500000;1929147
29.04.2019;26.8200000;1968467
30.04.2019;26.7100000;2761578
01.05.2019;26.7000000;3257243
02.05.2019;25.8800000;2490279
03.05.2019;26.2300000;2783827
06.05.2019;25.9500000;3174889
07.05.2019;25.6100000;3542523
08.05.2019;25.0300000;2741561
09.05.2019;24.4000000;2221955
10.05.2019;24.7300000;2999969
13.05.2019;24.3300000;3548400
14.05.2019;24.7900000;3433442
15.05.2019;24.6400000;2340332
16.05.2019;25.1300000;1953486
17.05.2019;24.6000000;2723559
20.05.2019;24.3300000;2675406
21.05.2019;24.2900000;2360432
22.05.2019;24.6000000;1746619
23.05.2019;23.9000000;2773712
24.05.2019;23.4400000;3315408
28.05.2019;23.0400000;2853656
29.05.2019;22.2300000;1867401
30.05.2019;22.4100000;2917108
31.05.2019;21.2600000;2091018
03.06.2019;21.0500000;2518206
04.06.2019;21.6700000;3048510
05.06.2019;22.0200000;5164433
06.06.2019;21.4500000;2681536
07.06.2019;21.5300000;3489128
10.06.2019;21.5900000;2535792
11.06.2019;22.4000000;2486510
12.06.2019;21.5000000;2247168
13.06.2019;21.3100000;1909621
14.06.2019;21.5000000;2661945
17.06.2019;21.5300000;1734114
18.06.2019;22.0300000;3951671
19.06.2019;22.6700000;2148020
20.06.2019;23.0600000;1872500
21.06.2019;22.5900000;1751037
24.06.2019;22.5300000;1316859
25.06.2019;22.2300000;1998849
26.06.2019;22.7700000;1981849
27.06.2019;23.2800000;2252802
28.06.2019;23.1000000;2064896
01.07.2019;23.6300000;2855867
02.07.2019;22.9300000;2451131
03.07.2019;23.2300000;2697017
05.07.2019;22.2500000;1877859
08.07.2019;22.9400000;2474200
09.07.2019;21.7000000;4006218
10.07.2019;22.4000000;2893574
11.07.2019;22.3100000;2471152
12.07.2019;22.5100000;1690310
15.07.2019;22.7800000;2696564
16.07.2019;23.2500000;2344018
17.07.2019;23.3200000;2742945
18.07.2019;22.9300000;8233466
19.07.2019;23.3600000;3881956
22.07.2019;23.1800000;2978676
23.07.2019;23.1600000;2546407
24.07.2019;22.9600000;2382453
25.07.2019;23.4800000;3331950
26.07.2019;22.8500000;2006629
29.07.2019;23.0600000;1916397
30.07.2019;22.9000000;2296936
31.07.2019;23.0500000;2084006
01.08.2019;22.2700000;3920471
02.08.2019;21.1500000;2919855
05.08.2019;20.2200000;3189979
06.08.2019;20.2200000;2948429
07.08.2019;19.5300000;2436993
08.08.2019;19.7900000;2176438
09.08.2019;19.8800000;2574571
12.08.2019;19.0300000;2187173
13.08.2019;18.5000000;3360605
14.08.2019;18.3500000;4700075
15.08.2019;17.6000000;3279920
16.08.2019;17.0400000;2925981
19.08.2019;17.8400000;2975969
20.08.2019;18.1200000;2482935
21.08.2019;18.6700000;2837740
22.08.2019;18.4600000;2465896
23.08.2019;17.8300000;2343483
26.08.2019;17.7300000;2637838
27.08.2019;17.3100000;1884732
28.08.2019;16.5800000;2289027
29.08.2019;17.3200000;2540543
30.08.2019;17.9400000;1666279
03.09.2019;17.6300000;2100899
04.09.2019;18.0200000;2050854
05.09.2019;18.7100000;4602245
06.09.2019;19.5200000;2255281
09.09.2019;19.2700000;3548202
10.09.2019;20.3900000;2640624
11.09.2019;21.3500000;5011049
12.09.2019;22.0300000;4237849
13.09.2019;22.9500000;3473495
16.09.2019;22.5600000;1799751
17.09.2019;22.0000000;3028646
18.09.2019;21.7900000;2356971
19.09.2019;21.3000000;2329683
20.09.2019;22.0400000;2428599
23.09.2019;20.6600000;2817907
24.09.2019;21.0700000;2902801
25.09.2019;20.4800000;2615732
26.09.2019;21.1900000;1849346
27.09.2019;21.0800000;2546478
30.09.2019;20.5300000;2592407
01.10.2019;20.1900000;2700190
02.10.2019;19.4200000;2505012
03.10.2019;19.1300000;2952659
04.10.2019;19.1000000;2288833
07.10.2019;19.4100000;1853797
08.10.2019;18.9000000;2901223
09.10.2019;18.7500000;2449325
10.10.2019;18.6400000;2801163
11.10.2019;19.1600000;5077530
14.10.2019;19.0200000;5028980
15.10.2019;19.1100000;6636403
16.10.2019;19.2500000;4811387
17.10.2019;20.5500000;8072978
18.10.2019;20.6600000;5033370
21.10.2019;21.5700000;5212924
22.10.2019;20.4500000;3532709
23.10.2019;20.8100000;2564605
24.10.2019;21.3400000;3365648
25.10.2019;20.6800000;2380228
28.10.2019;21.2200000;2261445
29.10.2019;21.4500000;2064823
30.10.2019;21.3000000;3225705
31.10.2019;20.9400000;4191508
01.11.2019;21.0300000;4871506
04.11.2019;22.2800000;3132533
05.11.2019;23.2000000;3290077
06.11.2019;22.4100000;1785685
07.11.2019;22.4000000;2528123
08.11.2019;22.3800000;2036286
11.11.2019;22.1500000;1629759
12.11.2019;22.3300000;2623351
13.11.2019;21.5300000;2629237
14.11.2019;21.0500000;2494142
15.11.2019;21.0000000;2833787
18.11.2019;20.6200000;2648888
19.11.2019;21.0300000;1964263
20.11.2019;20.4000000;2032231
21.11.2019;20.4300000;1856230
22.11.2019;20.3900000;2377469
25.11.2019;20.7500000;2330657
26.11.2019;20.4100000;2240932
27.11.2019;20.2900000;1963639
29.11.2019;20.4300000;1104830
02.12.2019;20.4700000;2192009
03.12.2019;19.9700000;2578012
04.12.2019;19.9700000;2686817
05.12.2019;19.8600000;2801144
06.12.2019;20.1300000;4368540
09.12.2019;20.6700000;2715098
10.12.2019;20.2200000;2360878
11.12.2019;20.5500000;2141198
12.12.2019;20.4000000;2844005
13.12.2019;21.4200000;3299974
16.12.2019;20.9900000;2595869
17.12.2019;20.8200000;2673469
18.12.2019;20.6000000;2993737
19.12.2019;21.1000000;2858018
20.12.2019;21.5800000;3379837
23.12.2019;21.3000000;1720700
24.12.2019;21.6100000;961607
26.12.2019;21.5000000;1285408
27.12.2019;21.4100000;1857697
30.12.2019;21.7000000;1914156
31.12.2019;21.3700000;1851912
02.01.2020;21.8600000;141501
03.01.2020;21.2500000;111448
06.01.2020;21.3900000;113687
07.01.2020;21.0200000;335609
08.01.2020;21.3300000;140612
09.01.2020;20.5200000;210920
10.01.2020;19.9000000;184238
13.01.2020;19.3500000;340735
14.01.2020;19.7000000;262107
15.01.2020;20.3500000;287179
16.01.2020;19.4000000;1190630
17.01.2020;18.0400000;330563
21.01.2020;17.5800000;281652
22.01.2020;17.1200000;509080
23.01.2020;16.3500000;262679
24.01.2020;16.2600000;299566
27.01.2020;15.0200000;213918
28.01.2020;15.1500000;264576
29.01.2020;14.7700000;171586
30.01.2020;14.2600000;375551
31.01.2020;14.0600000;329835
03.02.2020;14.0400000;271071
04.02.2020;14.4300000;354444
05.02.2020;15.3300000;527400
06.02.2020;16.0700000;371737
07.02.2020;15.6200000;325499
10.02.2020;15.2600000;218704
11.02.2020;15.6100000;253465
12.02.2020;15.9900000;231845
13.02.2020;15.5300000;192515
14.02.2020;15.8200000;415045
18.02.2020;15.5000000;204017
19.02.2020;16.1000000;517242
20.02.2020;16.6900000;536633
21.02.2020;16.0400000;265764
24.02.2020;15.2100000;298604
26.02.2020;14.6400000;239971
27.02.2020;13.7100000;411462
28.02.2020;12.8900000;435640
02.03.2020;14.0300000;361482
03.03.2020;13.6700000;704895
04.03.2020;13.1800000;421989
05.03.2020;12.4100000;672664
06.03.2020;11.3100000;800479
09.03.2020;9.6200000;609709
10.03.2020;9.3200000;524077
11.03.2020;8.8100000;524353
12.03.2020;8.3200000;514200
13.03.2020;8.0900000;305843
16.03.2020;6.9900000;334972
17.03.2020;7.0800000;322005
18.03.2020;6.4900000;366748
19.03.2020;5.8400000;286290
20.03.2020;6.0800000;540631
23.03.2020;5.5000000;483832
24.03.2020;6.2600000;953114
25.03.2020;7.9200000;845180
26.03.2020;7.2700000;662292
27.03.2020;6.5500000;454312
30.03.2020;6.5200000;310833
31.03.2020;6.1500000;574251
01.04.2020;5.9700000;647270
02.04.2020;6.2900000;386753
03.04.2020;6.0800000;315790
06.04.2020;6.3800000;539015
07.04.2020;7.1600000;1050630
08.04.2020;7.1800000;585348
09.04.2020;7.7000000;776168
13.04.2020;7.5000000;420779
14.04.2020;7.8500000;628587
15.04.2020;7.2700000;596473
16.04.2020;7.2900000;376073
17.04.2020;7.2800000;557317
21.04.2020;7.3350000;291854
22.04.2020;7.6300000;581429
23.04.2020;7.9100000;1358337
24.04.2020;7.3000000;605457
27.04.2020;7.2000000;477759
28.04.2020;7.5600000;611791
29.04.2020;8.2200000;681224
30.04.2020;8.5300000;539654
01.05.2020;7.8300000;539039
04.05.2020;7.4900000;399576
05.05.2020;8.0800000;403072
06.05.2020;7.9100000;399915
07.05.2020;7.8800000;598466
08.05.2020;7.7000000;866893
11.05.2020;7.8400000;315436
12.05.2020;7.8400000;307413
13.05.2020;7.2900000;433933
14.05.2020;6.7300000;439385
15.05.2020;6.7100000;313816
18.05.2020;7.0200000;709769
19.05.2020;7.7700000;549047
20.05.2020;8.0800000;546054
21.05.2020;8.2600000;363145
22.05.2020;8.3300000;324086
26.05.2020;8.7100000;456273
27.05.2020;9.1300000;612575
28.05.2020;10.0000000;924214
29.05.2020;9.2900000;488499
01.06.2020;9.1700000;236731
02.06.2020;9.6400000;234198
03.06.2020;10.2000000;337281
04.06.2020;10.9900000;430385
05.06.2020;12.9900000;672263
08.06.2020;12.7000000;520882
09.06.2020;12.3700000;419198
10.06.2020;12.5000000;356569
11.06.2020;10.8300000;424700
12.06.2020;11.2000000;456913
15.06.2020;10.8000000;203503
16.06.2020;12.0250000;392457
17.06.2020;11.5200000;168434
18.06.2020;11.3300000;175679
19.06.2020;11.8400000;276825
22.06.2020;11.4400000;257469
23.06.2020;12.0900000;309829
24.06.2020;11.9700000;341747
25.06.2020;10.9300000;308299
26.06.2020;11.6800000;438072
29.06.2020;11.1600000;362574
30.06.2020;10.8900000;233093
01.07.2020;11.1800000;364857
02.07.2020;11.2900000;414818
06.07.2020;11.3500000;374546
07.07.2020;11.1900000;191590
08.07.2020;12.0100000;447657
09.07.2020;11.0300000;331408
10.07.2020;10.4600000;387578
13.07.2020;11.5700000;398873
14.07.2020;11.2700000;469072
15.07.2020;12.8900000;551454
16.07.2020;12.7700000;552494
