date;usd_to_hkd
26.11.2019;7.825700
27.11.2019;7.828500
28.11.2019;7.827800
29.11.2019;7.827200
02.12.2019;7.828380
03.12.2019;7.828050
04.12.2019;7.829500
05.12.2019;7.828910
06.12.2019;7.828800
09.12.2019;7.829350
10.12.2019;7.828400
11.12.2019;7.826700
12.12.2019;7.808900
13.12.2019;7.805320
16.12.2019;7.799230
17.12.2019;7.792710
18.12.2019;7.786770
19.12.2019;7.788150
20.12.2019;7.794520
23.12.2019;7.796790
24.12.2019;7.787030
25.12.2019;7.788200
26.12.2019;7.788900
27.12.2019;7.787350
30.12.2019;7.787390
31.12.2019;7.788390
01.01.2020;7.786500
02.01.2020;7.792230
03.01.2020;7.788600
06.01.2020;7.781430
07.01.2020;7.771620
08.01.2020;7.777160
09.01.2020;7.775640
10.01.2020;7.766330
13.01.2020;7.766580
14.01.2020;7.771340
15.01.2020;7.777000
16.01.2020;7.772370
17.01.2020;7.772180
20.01.2020;7.768310
21.01.2020;7.769200
22.01.2020;7.770200
23.01.2020;7.771100
24.01.2020;7.772300
27.01.2020;7.774410
28.01.2020;7.777000
29.01.2020;7.775800
30.01.2020;7.773000
31.01.2020;7.767300
03.02.2020;7.765820
04.02.2020;7.766100
05.02.2020;7.767330
06.02.2020;7.763500
07.02.2020;7.763400
10.02.2020;7.765800
11.02.2020;7.765900
12.02.2020;7.765200
13.02.2020;7.768670
14.02.2020;7.766570
17.02.2020;7.766980
18.02.2020;7.767800
19.02.2020;7.768600
20.02.2020;7.772700
21.02.2020;7.780700
24.02.2020;7.792080
25.02.2020;7.792520
26.02.2020;7.789700
27.02.2020;7.792800
28.02.2020;7.794340
02.03.2020;7.792880
03.03.2020;7.781300
04.03.2020;7.770930
05.03.2020;7.771750
06.03.2020;7.770780
09.03.2020;7.769400
10.03.2020;7.771000
11.03.2020;7.768030
12.03.2020;7.768200
13.03.2020;7.776400
16.03.2020;7.763120
17.03.2020;7.765900
18.03.2020;7.762640
19.03.2020;7.763800
20.03.2020;7.761760
23.03.2020;7.758480
24.03.2020;7.755920
25.03.2020;7.752800
26.03.2020;7.752860
27.03.2020;7.752100
30.03.2020;7.752240
31.03.2020;7.754100
01.04.2020;7.751970
02.04.2020;7.752010
03.04.2020;7.751400
06.04.2020;7.752940
07.04.2020;7.751500
08.04.2020;7.752150
09.04.2020;7.751590
10.04.2020;7.753000
13.04.2020;7.752700
14.04.2020;7.752100
15.04.2020;7.751500
16.04.2020;7.751020
17.04.2020;7.750780
20.04.2020;7.750680
21.04.2020;7.750200
22.04.2020;7.749890
23.04.2020;7.750000
24.04.2020;7.750700
27.04.2020;7.750300
28.04.2020;7.750600
29.04.2020;7.750580
30.04.2020;7.750100
01.05.2020;7.751590
04.05.2020;7.752200
05.05.2020;7.753240
06.05.2020;7.752600
07.05.2020;7.751990
08.05.2020;7.750800
11.05.2020;7.751070
12.05.2020;7.750320
13.05.2020;7.750470
14.05.2020;7.750700
15.05.2020;7.750870
18.05.2020;7.750800
19.05.2020;7.750800
20.05.2020;7.750600
21.05.2020;7.750100
22.05.2020;7.754500
25.05.2020;7.757110
26.05.2020;7.754300
27.05.2020;7.753400
28.05.2020;7.753380
29.05.2020;7.752900
01.06.2020;7.752970
02.06.2020;7.751070
03.06.2020;7.750300
04.06.2020;7.750030
05.06.2020;7.749890
08.06.2020;7.750120
09.06.2020;7.750800
10.06.2020;7.750200
11.06.2020;7.749900
12.06.2020;7.750400
15.06.2020;7.750000
16.06.2020;7.750690
17.06.2020;7.749900
18.06.2020;7.750050
19.06.2020;7.750130
22.06.2020;7.750100
23.06.2020;7.750060
24.06.2020;7.750000
25.06.2020;7.750100
26.06.2020;7.751500
29.06.2020;7.750200
30.06.2020;7.750200
01.07.2020;7.750400
02.07.2020;7.750400
03.07.2020;7.750200
06.07.2020;7.749910
07.07.2020;7.750200
08.07.2020;7.750300
09.07.2020;7.750100
10.07.2020;7.749900
13.07.2020;7.751600
14.07.2020;7.750820
15.07.2020;7.750900
16.07.2020;7.752090
17.07.2020;7.753800
20.07.2020;7.753300
21.07.2020;7.751900
22.07.2020;7.750800
23.07.2020;7.752500
24.07.2020;7.751500
27.07.2020;7.751500
28.07.2020;7.751100
29.07.2020;7.750200
30.07.2020;7.749900
31.07.2020;7.750000
03.08.2020;7.750000
04.08.2020;7.750210
05.08.2020;7.750000
06.08.2020;7.750600
07.08.2020;7.750000
10.08.2020;7.750000
11.08.2020;7.750100
12.08.2020;7.750200
13.08.2020;7.750240
14.08.2020;7.749610
17.08.2020;7.750590
18.08.2020;7.750200
19.08.2020;7.749930
20.08.2020;7.750090
21.08.2020;7.750000
24.08.2020;7.750000
25.08.2020;7.750100
26.08.2020;7.750400
27.08.2020;7.750260
28.08.2020;7.750100
31.08.2020;7.750300
01.09.2020;7.749900
02.09.2020;7.749800
03.09.2020;7.750100
04.09.2020;7.749900
07.09.2020;7.750300
08.09.2020;7.750070
09.09.2020;7.750080
10.09.2020;7.750450
11.09.2020;7.750330
14.09.2020;7.750330
15.09.2020;7.750000
16.09.2020;7.749810
17.09.2020;7.750300
18.09.2020;7.750050
21.09.2020;7.749800
22.09.2020;7.749900
23.09.2020;7.750000
24.09.2020;7.749830
25.09.2020;7.750100
28.09.2020;7.750000
29.09.2020;7.750000
30.09.2020;7.749800
01.10.2020;7.749930
02.10.2020;7.749900
05.10.2020;7.750000
06.10.2020;7.750100
07.10.2020;7.750100
08.10.2020;7.749810
09.10.2020;7.749900
12.10.2020;7.749900
13.10.2020;7.749800
14.10.2020;7.753200
15.10.2020;7.749780
16.10.2020;7.749900
19.10.2020;7.750170
20.10.2020;7.749770
21.10.2020;7.751500
22.10.2020;7.749900
23.10.2020;7.753400
26.10.2020;7.749800
27.10.2020;7.753900
28.10.2020;7.750600
29.10.2020;7.750100
30.10.2020;7.751600
02.11.2020;7.752600
03.11.2020;7.751270
04.11.2020;7.752900
05.11.2020;7.754400
06.11.2020;7.753920
09.11.2020;7.753220
10.11.2020;7.752240
11.11.2020;7.753700
12.11.2020;7.754220
13.11.2020;7.753770
16.11.2020;7.753220
17.11.2020;7.753600
18.11.2020;7.752500
19.11.2020;7.752080
20.11.2020;7.752400
23.11.2020;7.752100
24.11.2020;7.751930
25.11.2020;7.751400
26.11.2020;7.751150
27.11.2020;7.750700
30.11.2020;7.750490
01.12.2020;7.751500
02.12.2020;7.751930
03.12.2020;7.751600
04.12.2020;7.751110
07.12.2020;7.750470
08.12.2020;7.750900
09.12.2020;7.751100
10.12.2020;7.751410
11.12.2020;7.751400
14.12.2020;7.751200
15.12.2020;7.751590
16.12.2020;7.751170
17.12.2020;7.752300
18.12.2020;7.752070
21.12.2020;7.752170
22.12.2020;7.752800
23.12.2020;7.752700
24.12.2020;7.752700
25.12.2020;7.753200
28.12.2020;7.753460
29.12.2020;7.753810
30.12.2020;7.753700
31.12.2020;7.752020
01.01.2021;7.753200
04.01.2021;7.752910
05.01.2021;7.752760
06.01.2021;7.752800
07.01.2021;7.753010
08.01.2021;7.753100
11.01.2021;7.754310
12.01.2021;7.754680
13.01.2021;7.754080
14.01.2021;7.753350
15.01.2021;7.753000
18.01.2021;7.753250
19.01.2021;7.753050
20.01.2021;7.751980
21.01.2021;7.751450
22.01.2021;7.751600
25.01.2021;7.751680
26.01.2021;7.751550
27.01.2021;7.751700
28.01.2021;7.751800
29.01.2021;7.752520
01.02.2021;7.752900
02.02.2021;7.752820
03.02.2021;7.751400
04.02.2021;7.751420
05.02.2021;7.752340
08.02.2021;7.752470
09.02.2021;7.752190
10.02.2021;7.751650
11.02.2021;7.752200
12.02.2021;7.752500
15.02.2021;7.752570
16.02.2021;7.752440
17.02.2021;7.752080
18.02.2021;7.752300
19.02.2021;7.752380
22.02.2021;7.752920
23.02.2021;7.753430
24.02.2021;7.753470
25.02.2021;7.754600
26.02.2021;7.753800
01.03.2021;7.756390
02.03.2021;7.755600
03.03.2021;7.756850
04.03.2021;7.756300
05.03.2021;7.759100
08.03.2021;7.763630
09.03.2021;7.768900
10.03.2021;7.761000
11.03.2021;7.761200
12.03.2021;7.758260
15.03.2021;7.762570
16.03.2021;7.764080
17.03.2021;7.765000
18.03.2021;7.765160
19.03.2021;7.764600
22.03.2021;7.765370
23.03.2021;7.765810
24.03.2021;7.766870
25.03.2021;7.768340
26.03.2021;7.768520
29.03.2021;7.768900
30.03.2021;7.772700
31.03.2021;7.775100
