date;rual_price;rual_volume;rual_price_change
22.08.2022;46,4;3,58M;0,98%
19.08.2022;45,95;4,14M;-1,01%
18.08.2022;46,42;13,21M;0,91%
17.08.2022;46;5,36M;-0,33%
16.08.2022;46,15;9,05M;-1,79%
15.08.2022;46,99;7,15M;6,75%
12.08.2022;44,02;6,40M;-0,69%
11.08.2022;44,325;11,28M;-3,41%
10.08.2022;45,89;9,22M;3,10%
09.08.2022;44,51;5,02M;1,68%
08.08.2022;43,775;4,82M;-0,14%
05.08.2022;43,835;5,26M;-2,43%
04.08.2022;44,925;6,71M;-2,23%
03.08.2022;45,95;6,13M;-3,86%
02.08.2022;47,795;4,60M;-2,76%
01.08.2022;49,15;4,05M;-2,16%
29.07.2022;50,235;3,60M;1,73%
28.07.2022;49,38;4,75M;-2,12%
27.07.2022;50,45;5,18M;1,14%
26.07.2022;49,88;3,26M;1,46%
25.07.2022;49,16;2,81M;1,34%
22.07.2022;48,51;3,84M;-2,88%
21.07.2022;49,95;8,40M;4,94%
20.07.2022;47,6;2,86M;-2,26%
19.07.2022;48,7;2,66M;-1,29%
18.07.2022;49,335;1,56M;-0,33%
15.07.2022;49,5;3,88M;1,12%
14.07.2022;48,95;5,91M;-2,31%
13.07.2022;50,11;5,39M;-5,39%
12.07.2022;52,965;6,49M;-2,81%
11.07.2022;54,495;3,24M;-2,39%
08.07.2022;55,83;2,57M;-0,13%
07.07.2022;55,9;5,34M;0,49%
06.07.2022;55,63;8,54M;-3,27%
05.07.2022;57,51;54,65M;6,02%
04.07.2022;54,245;3,73M;2,66%
01.07.2022;52,84;2,32M;-1,29%
30.06.2022;53,53;5,96M;-2,17%
29.06.2022;54,715;3,95M;0,21%
28.06.2022;54,6;3,21M;-2,00%
27.06.2022;55,715;2,51M;1,37%
24.06.2022;54,96;3,13M;-0,94%
23.06.2022;55,48;3,71M;3,07%
22.06.2022;53,825;3,41M;-1,24%
21.06.2022;54,5;3,34M;-2,70%
20.06.2022;56,015;2,75M;-0,96%
17.06.2022;56,56;1,98M;-1,21%
16.06.2022;57,25;2,58M;0,83%
15.06.2022;56,78;3,86M;2,68%
14.06.2022;55,3;4,83M;-4,56%
10.06.2022;57,94;1,80M;-1,76%
09.06.2022;58,98;2,11M;-2,24%
08.06.2022;60,33;1,79M;0,06%
07.06.2022;60,295;4,61M;-0,18%
06.06.2022;60,405;1,99M;-0,65%
03.06.2022;60,8;5,55M;0,50%
02.06.2022;60,5;7,60M;4,33%
01.06.2022;57,99;4,52M;-1,96%
31.05.2022;59,15;7,56M;-5,81%
30.05.2022;62,8;6,67M;2,86%
27.05.2022;61,055;4,84M;2,44%
26.05.2022;59,6;5,10M;0,14%
25.05.2022;59,515;3,87M;1,92%
24.05.2022;58,395;5,83M;1,01%
23.05.2022;57,81;6,45M;-5,21%
20.05.2022;60,985;5,90M;-3,39%
19.05.2022;63,125;2,93M;-1,40%
18.05.2022;64,02;3,57M;-0,44%
17.05.2022;64,3;8,90M;1,98%
16.05.2022;63,05;2,89M;0,12%
13.05.2022;62,975;2,01M;-0,37%
12.05.2022;63,21;2,07M;-3,14%
11.05.2022;65,26;1,80M;-0,06%
06.05.2022;65,3;1,29M;-1,58%
05.05.2022;66,35;1,29M;1,66%
04.05.2022;65,265;2,57M;-3,31%
29.04.2022;67,5;2,53M;0,50%
28.04.2022;67,165;4,48M;-3,17%
27.04.2022;69,365;3,56M;4,81%
26.04.2022;66,18;3,81M;6,13%
25.04.2022;62,36;2,75M;-3,91%
22.04.2022;64,895;3,64M;0,45%
21.04.2022;64,605;3,51M;2,22%
20.04.2022;63,2;4,06M;0,00%
19.04.2022;63,2;4,18M;-2,17%
18.04.2022;64,605;2,57M;-3,21%
15.04.2022;66,75;2,45M;0,15%
14.04.2022;66,65;3,71M;-2,89%
13.04.2022;68,63;2,65M;-1,28%
12.04.2022;69,52;4,60M;2,79%
11.04.2022;67,63;2,98M;-1,63%
08.04.2022;68,75;2,81M;-0,29%
07.04.2022;68,95;2,44M;-1,78%
06.04.2022;70,2;4,08M;-2,53%
05.04.2022;72,02;7,45M;0,14%
04.04.2022;71,92;11,08M;3,48%
01.04.2022;69,5;11,58M;2,21%
31.03.2022;68;10,75M;3,86%
30.03.2022;65,475;6,09M;3,93%
29.03.2022;63;19,39M;-2,98%
28.03.2022;64,935;7,43M;-2,49%
25.03.2022;66,59;9,16M;-4,26%
24.03.2022;69,55;46,34M;15,81%
25.02.2022;60,055;46,27M;-10,70%
24.02.2022;67,25;59,49M;-11,16%
22.02.2022;75,7;101,25M;8,92%
21.02.2022;69,5;100,31M;-13,66%
18.02.2022;80,5;43,22M;-3,30%
17.02.2022;83,245;55,44M;-6,47%
16.02.2022;89;33,35M;3,07%
15.02.2022;86,35;45,33M;3,54%
14.02.2022;83,4;52,83M;4,64%
11.02.2022;79,7;71,25M;-3,98%
10.02.2022;83,005;63,17M;3,77%
09.02.2022;79,99;40,97M;5,22%
08.02.2022;76,02;42,61M;6,95%
07.02.2022;71,08;8,47M;-0,39%
04.02.2022;71,36;14,72M;0,66%
03.02.2022;70,89;12,71M;1,28%
02.02.2022;69,995;13,64M;-2,23%
01.02.2022;71,595;8,35M;-1,14%
31.01.2022;72,42;15,40M;0,46%
28.01.2022;72,09;15,03M;-0,76%
