date;rual_price;rual_volume;rual_price_change
07.08.2018;25,2;818,78K;-0,47%
06.08.2018;25,32;727,08K;0,84%
03.08.2018;25,11;1,09M;-0,83%
02.08.2018;25,32;682,26K;-1,75%
01.08.2018;25,77;1,19M;-1,04%
31.07.2018;26,04;830,80K;0,31%
30.07.2018;25,96;759,05K;0,23%
27.07.2018;25,9;588,89K;-1,11%
26.07.2018;26,19;1,50M;-0,42%
25.07.2018;26,3;2,63M;1,94%
24.07.2018;25,8;1,75M;0,08%
23.07.2018;25,78;9,68M;7,91%
20.07.2018;23,89;569,06K;-0,87%
19.07.2018;24,1;637,04K;-1,43%
18.07.2018;24,45;427,82K;0,08%
17.07.2018;24,43;757,93K;-2,44%
16.07.2018;25,04;2,13M;2,62%
13.07.2018;24,4;851,60K;0,99%
12.07.2018;24,16;422,75K;0,46%
11.07.2018;24,05;552,48K;-0,41%
10.07.2018;24,15;594,66K;-0,29%
09.07.2018;24,22;1,20M;0,62%
06.07.2018;24,07;374,57K;0,04%
05.07.2018;24,06;657,31K;0,88%
04.07.2018;23,85;459,36K;-0,29%
03.07.2018;23,92;253,55K;-0,29%
02.07.2018;23,99;973,96K;-0,04%
29.06.2018;24;768,99K;-0,33%
28.06.2018;24,08;606,27K;-1,83%
27.06.2018;24,53;2,08M;3,76%
26.06.2018;23,64;630,10K;-0,17%
25.06.2018;23,68;288,09K;-1,00%
22.06.2018;23,92;684,15K;-2,57%
21.06.2018;24,55;1,04M;0,20%
20.06.2018;24,5;1,08M;2,08%
19.06.2018;24;1,09M;-1,28%
18.06.2018;24,31;1,21M;-2,76%
15.06.2018;25;1,20M;0,16%
14.06.2018;24,96;7,62M;-9,24%
13.06.2018;27,5;618,69K;1,63%
11.06.2018;27,06;914,34K;-1,38%
09.06.2018;27,44;190,31K;-0,69%
08.06.2018;27,63;599,28K;-1,74%
07.06.2018;28,12;678,83K;0,90%
06.06.2018;27,87;1,15M;1,27%
05.06.2018;27,52;802,99K;0,15%
04.06.2018;27,48;685,97K;1,03%
01.06.2018;27,2;611,72K;-0,55%
31.05.2018;27,35;869,99K;-1,41%
30.05.2018;27,74;902,73K;-0,89%
29.05.2018;27,99;1,42M;-1,72%
28.05.2018;28,48;2,90M;3,19%
25.05.2018;27,6;3,58M;1,73%
24.05.2018;27,13;2,26M;1,80%
23.05.2018;26,65;970,20K;-0,71%
22.05.2018;26,84;2,03M;-3,10%
21.05.2018;27,7;5,44M;2,67%
18.05.2018;26,98;10,21M;10,62%
17.05.2018;24,39;1,03M;-2,05%
16.05.2018;24,9;2,94M;-2,51%
15.05.2018;25,54;689,87K;-1,20%
14.05.2018;25,85;1,59M;-1,30%
11.05.2018;26,19;1,08M;-1,17%
10.05.2018;26,5;3,08M;-1,05%
08.05.2018;26,78;1,97M;-3,84%
07.05.2018;27,85;1,21M;-0,85%
04.05.2018;28,09;2,80M;-2,36%
03.05.2018;28,77;5,38M;-4,10%
02.05.2018;30;2,89M;-3,41%
30.04.2018;31,06;4,74M;2,41%
28.04.2018;30,33;5,09M;1,51%
27.04.2018;29,88;6,26M;3,18%
26.04.2018;28,96;6,22M;-0,45%
25.04.2018;29,09;9,53M;3,52%
24.04.2018;28,1;34,98M;4,07%
23.04.2018;27;22,95M;17,65%
20.04.2018;22,95;3,48M;-0,86%
19.04.2018;23,15;9,83M;6,58%
18.04.2018;21,72;6,20M;2,45%
17.04.2018;21,2;8,09M;6,85%
16.04.2018;19,84;9,85M;-5,57%
13.04.2018;21,01;7,44M;-4,41%
12.04.2018;21,98;6,57M;4,12%
11.04.2018;21,11;8,43M;-7,37%
10.04.2018;22,79;12,36M;1,06%
09.04.2018;22,55;52,78M;-20,35%
06.04.2018;28,31;30,25M;-17,73%
05.04.2018;34,41;873,61K;1,21%
04.04.2018;34;2,30M;-0,50%
03.04.2018;34,17;1,88M;-1,87%
02.04.2018;34,82;819,40K;-1,50%
30.03.2018;35,35;738,40K;0,28%
29.03.2018;35,25;2,10M;2,03%
28.03.2018;34,55;1,05M;0,03%
27.03.2018;34,54;1,81M;2,98%
26.03.2018;33,54;4,20M;0,48%
23.03.2018;33,38;5,61M;-3,30%
22.03.2018;34,52;4,99M;-1,37%
21.03.2018;35;2,22M;-0,17%
20.03.2018;35,06;2,02M;-1,79%
19.03.2018;35,7;2,30M;0,93%
16.03.2018;35,37;1,06M;1,20%
15.03.2018;34,95;3,45M;-1,72%
14.03.2018;35,56;5,29M;-0,95%
13.03.2018;35,9;5,15M;-0,53%
12.03.2018;36,09;3,66M;1,43%
09.03.2018;35,58;5,32M;-2,79%
07.03.2018;36,6;4,32M;-2,99%
06.03.2018;37,73;2,98M;-1,59%
05.03.2018;38,34;1,65M;-0,62%
02.03.2018;38,58;2,68M;-2,65%
01.03.2018;39,63;1,86M;1,69%
28.02.2018;38,97;452,33K;0,08%
27.02.2018;38,94;3,05M;0,05%
26.02.2018;38,92;4,41M;-1,22%
22.02.2018;39,4;1,57M;-0,51%
21.02.2018;39,6;3,93M;1,69%
20.02.2018;38,94;1,60M;-0,28%
19.02.2018;39,05;1,72M;0,70%
16.02.2018;38,78;5,77M;-5,37%
15.02.2018;40,98;720,32K;-0,05%
14.02.2018;41;1,29M;0,12%
13.02.2018;40,95;1,13M;-0,56%
12.02.2018;41,18;919,62K;-0,34%
09.02.2018;41,32;1,98M;-1,29%
08.02.2018;41,86;1,18M;-0,05%
07.02.2018;41,88;1,45M;-0,05%
06.02.2018;41,9;3,77M;-1,64%
05.02.2018;42,6;4,13M;1,38%
02.02.2018;42,02;2,36M;0,36%
01.02.2018;41,87;4,25M;1,68%
31.01.2018;41,18;1,29M;-1,01%
30.01.2018;41,6;772,94K;-0,48%
29.01.2018;41,8;3,87M;1,65%
26.01.2018;41,12;1,55M;0,56%
25.01.2018;40,89;857,63K;-0,75%
24.01.2018;41,2;1,92M;-1,27%
23.01.2018;41,73;3,69M;0,92%
22.01.2018;41,35;2,42M;-0,48%
19.01.2018;41,55;866,52K;0,14%
18.01.2018;41,49;700,26K;0,00%
17.01.2018;41,49;1,41M;1,74%
16.01.2018;40,78;619,31K;-1,09%
15.01.2018;41,23;1,26M;-0,19%
12.01.2018;41,31;467,58K;0,24%
11.01.2018;41,21;804,75K;-1,51%
10.01.2018;41,84;592,54K;0,29%
09.01.2018;41,72;1,95M;-2,18%
05.01.2018;42,65;1,11M;-0,47%
04.01.2018;42,85;1,84M;0,35%
03.01.2018;42,7;2,26M;5,30%
