"Date","Price","Open","High","Low","Vol.","Change %"
"01/04/2024","2,983.8","2,978.2","3,016.6","2,967.5","","0.19%"
"01/03/2024","2,978.2","3,039.2","3,039.2","2,960.0","","-2.00%"
"01/02/2024","3,039.2","3,063.7","3,084.6","3,020.9","","-0.80%"
"12/29/2023","3,063.7","3,111.6","3,111.6","3,059.6","","-1.54%"
"12/28/2023","3,111.6","3,148.6","3,148.6","3,105.6","","-1.17%"
"12/27/2023","3,148.6","3,138.5","3,164.3","3,138.5","","0.32%"
"12/26/2023","3,138.5","3,111.6","3,147.3","3,110.1","","0.86%"
"12/22/2023","3,111.6","3,078.8","3,132.9","3,078.8","","1.06%"
"12/21/2023","3,078.8","3,013.9","3,079.6","3,013.9","","2.15%"
"12/20/2023","3,013.9","3,066.0","3,098.0","3,011.9","","-1.70%"
"12/19/2023","3,066.0","2,977.2","3,071.7","2,977.2","","2.98%"
"12/18/2023","2,977.2","2,932.8","3,037.1","2,932.8","","1.52%"
"12/15/2023","2,932.8","2,916.2","2,963.5","2,901.7","","0.57%"
"12/14/2023","2,916.2","2,810.0","2,927.4","2,810.0","","3.78%"
"12/13/2023","2,810.0","2,709.9","2,810.5","2,698.8","","3.69%"
"12/12/2023","2,709.9","2,765.8","2,765.8","2,698.9","","-2.02%"
"12/11/2023","2,765.8","2,760.4","2,771.2","2,709.1","","0.20%"
"12/08/2023","2,760.4","2,757.6","2,798.1","2,743.1","","0.10%"
"12/07/2023","2,757.6","2,746.1","2,757.9","2,731.4","","0.42%"
"12/06/2023","2,746.1","2,776.6","2,828.2","2,745.0","","-1.10%"
"12/05/2023","2,776.6","2,847.8","2,847.8","2,776.3","","-2.50%"
"12/04/2023","2,847.8","2,872.4","2,872.4","2,831.1","","-0.86%"
"12/01/2023","2,872.4","2,797.9","2,883.4","2,770.4","","2.68%"
"11/30/2023","2,797.5","2,754.0","2,803.6","2,754.0","","1.58%"
"11/29/2023","2,754.0","2,754.9","2,775.4","2,743.3","","-0.03%"
"11/28/2023","2,754.9","2,752.4","2,776.5","2,740.5","","0.09%"
"11/27/2023","2,752.4","2,732.2","2,759.7","2,722.8","","0.74%"
"11/24/2023","2,732.2","2,712.7","2,753.7","2,712.6","","0.72%"
"11/22/2023","2,712.7","2,699.2","2,717.0","2,679.3","","0.50%"
"11/21/2023","2,699.2","2,694.0","2,735.0","2,694.0","","0.19%"
"11/20/2023","2,694.0","2,688.0","2,712.4","2,678.4","","0.22%"
"11/17/2023","2,688.0","2,642.9","2,699.2","2,642.9","","1.71%"
"11/16/2023","2,642.9","2,656.7","2,680.3","2,631.5","","-0.52%"
"11/15/2023","2,656.7","2,649.8","2,694.2","2,646.1","","0.26%"
"11/14/2023","2,649.8","2,523.4","2,656.2","2,523.4","","5.01%"
"11/13/2023","2,523.4","2,525.3","2,543.8","2,512.5","","-0.08%"
"11/10/2023","2,525.3","2,510.0","2,531.2","2,497.5","","0.61%"
"11/09/2023","2,510.0","2,530.6","2,559.6","2,507.2","","-0.81%"
"11/08/2023","2,530.6","2,546.6","2,563.5","2,515.8","","-0.63%"
"11/07/2023","2,546.6","2,597.7","2,597.7","2,523.6","","-1.97%"
"11/06/2023","2,597.7","2,621.3","2,633.5","2,589.8","","-0.90%"
"11/03/2023","2,621.3","2,595.4","2,662.8","2,595.4","","1.00%"
"11/02/2023","2,595.4","2,542.8","2,602.1","2,542.8","","2.07%"
"11/01/2023","2,542.8","2,532.9","2,545.7","2,507.2","","0.39%"
"10/31/2023","2,532.9","2,548.9","2,556.7","2,516.0","","-0.63%"
"10/30/2023","2,548.9","2,527.9","2,563.7","2,519.8","","0.83%"
"10/27/2023","2,527.9","2,508.1","2,531.7","2,490.6","","0.79%"
"10/26/2023","2,508.1","2,504.1","2,542.0","2,497.4","","0.16%"
"10/25/2023","2,504.1","2,524.0","2,532.9","2,496.8","","-0.79%"
"10/24/2023","2,524.0","2,486.9","2,550.0","2,486.9","","1.49%"
"10/23/2023","2,486.9","2,504.9","2,520.3","2,460.3","","-0.72%"
"10/20/2023","2,504.9","2,542.7","2,547.6","2,501.7","","-1.49%"
"10/19/2023","2,542.7","2,592.4","2,592.4","2,534.3","","-1.92%"
"10/18/2023","2,592.4","2,662.4","2,662.4","2,586.8","","-2.63%"
"10/17/2023","2,662.4","2,608.0","2,676.4","2,584.3","","2.09%"
"10/16/2023","2,608.0","2,584.0","2,628.5","2,584.0","","0.93%"
"10/13/2023","2,584.0","2,582.1","2,626.9","2,576.6","","0.07%"
"10/12/2023","2,582.1","2,668.8","2,668.8","2,552.1","","-3.25%"
"10/11/2023","2,668.8","2,665.2","2,683.8","2,639.4","","0.13%"
"10/10/2023","2,665.2","2,631.2","2,682.1","2,631.2","","1.29%"
"10/09/2023","2,631.2","2,600.9","2,645.5","2,591.8","","1.16%"
"10/06/2023","2,600.9","2,556.6","2,623.9","2,548.1","","1.73%"
"10/05/2023","2,556.6","2,559.9","2,575.5","2,538.9","","-0.13%"
"10/04/2023","2,559.9","2,581.8","2,582.3","2,527.6","","-0.85%"
"10/03/2023","2,581.8","2,615.3","2,623.9","2,566.5","","-1.28%"
"10/02/2023","2,615.3","2,688.0","2,688.0","2,597.6","","-2.70%"
"09/29/2023","2,688.0","2,692.6","2,730.8","2,676.6","","-0.17%"
"09/28/2023","2,692.6","2,645.6","2,703.6","2,645.6","","1.77%"
"09/27/2023","2,645.6","2,614.4","2,669.0","2,614.4","","1.20%"
