date;chalco_price;chalco_adj;chalco_volume
22.03.2019;3.150000;3.048131;10016588
25.03.2019;3.000000;2.911356;18759000
26.03.2019;3.000000;2.891817;13696789
27.03.2019;2.970000;2.891817;5803526
28.03.2019;3.000000;2.891817;8392078
29.03.2019;2.990000;2.823429;49441425
01.04.2019;2.920000;3.057901;50347267
02.04.2019;3.200000;3.116519;38787720
03.04.2019;3.250000;3.321681;81410534
04.04.2019;3.400000;3.331451;40493900
08.04.2019;3.440000;3.282603;42714000
09.04.2019;3.340000;3.302142;25639864
10.04.2019;3.390000;3.321681;30067855
11.04.2019;3.370000;3.292372;25632385
12.04.2019;3.370000;3.243524;13408067
15.04.2019;3.350000;3.272833;23676000
16.04.2019;3.370000;3.253294;22687568
17.04.2019;3.370000;3.292372;38408081
18.04.2019;3.390000;3.272833;26009944
23.04.2019;3.320000;3.165367;36988518
24.04.2019;3.250000;3.155597;16408940
25.04.2019;3.230000;3.077440;22173196
26.04.2019;3.150000;3.038362;15701753
29.04.2019;3.130000;2.989513;12071765
30.04.2019;3.080000;2.999283;18912220
02.05.2019;3.020000;3.018822;23856824
03.05.2019;3.090000;3.009053;11236982
06.05.2019;3.020000;2.842969;41614416
07.05.2019;2.910000;2.823429;14504300
08.05.2019;2.840000;2.774581;23618508
09.05.2019;2.800000;2.628036;42216095
10.05.2019;2.700000;2.667115;25102309
14.05.2019;2.600000;2.715963;43827106
15.05.2019;2.730000;2.735502;18402992
16.05.2019;2.780000;2.784350;26069890
17.05.2019;2.890000;2.774581;16826268
20.05.2019;2.810000;2.706193;25274038
21.05.2019;2.770000;2.745272;16271395
22.05.2019;2.870000;2.715963;6604391
23.05.2019;2.740000;2.628036;21664742
24.05.2019;2.700000;2.647576;6138562
27.05.2019;2.680000;2.667115;9067575
28.05.2019;2.750000;2.745272;23949168
29.05.2019;2.790000;2.735502;16501940
30.05.2019;2.820000;2.755042;14318000
31.05.2019;2.790000;2.755042;10745182
03.06.2019;2.840000;2.764811;8746914
04.06.2019;2.840000;2.706193;16766718
05.06.2019;2.820000;2.725733;5588000
06.06.2019;2.830000;2.706193;10709010
10.06.2019;2.810000;2.725733;8247593
11.06.2019;2.810000;2.755042;24976245
12.06.2019;2.810000;2.764811;17450311
13.06.2019;2.790000;2.755042;6469944
14.06.2019;2.800000;2.715963;9458308
