"Date","Price","Open","High","Low","Vol.","Change %"
"02/01/2024","8,560.74","8,560.74","8,560.74","8,560.74","","-0.02%"
"01/31/2024","8,562.85","8,562.85","8,562.85","8,562.85","","-1.14%"
"01/30/2024","8,661.89","8,661.89","8,661.89","8,661.89","","-1.88%"
"01/29/2024","8,827.64","8,827.64","8,827.64","8,827.64","","-1.07%"
"01/26/2024","8,922.68","8,922.68","8,922.68","8,922.68","","-0.56%"
"01/25/2024","8,973.15","8,973.15","8,973.15","8,973.15","","2.30%"
"01/24/2024","8,771.12","8,771.12","8,771.12","8,771.12","","1.30%"
"01/23/2024","8,658.38","8,658.38","8,658.38","8,658.38","","1.15%"
"01/22/2024","8,559.53","8,559.53","8,559.53","8,559.53","","-2.18%"
"01/19/2024","8,749.96","8,749.96","8,749.96","8,749.96","","-0.31%"
"01/18/2024","8,777.22","8,777.22","8,777.22","8,777.22","","1.14%"
"01/17/2024","8,678.13","8,678.13","8,678.13","8,678.13","","-2.45%"
"01/16/2024","8,896.25","8,896.25","8,896.25","8,896.25","","0.33%"
"01/15/2024","8,866.70","8,866.70","8,866.70","8,866.70","","-0.16%"
"01/12/2024","8,880.62","8,880.62","8,880.62","8,880.62","","-0.35%"
"01/11/2024","8,911.95","8,911.95","8,911.95","8,911.95","","0.84%"
"01/10/2024","8,837.43","8,837.43","8,837.43","8,837.43","","-0.58%"
"01/09/2024","8,888.72","8,888.72","8,888.72","8,888.72","","0.16%"
"01/08/2024","8,874.73","8,874.73","8,874.73","8,874.73","","-1.32%"
"01/05/2024","8,993.06","8,993.06","8,993.06","8,993.06","","-0.83%"
"01/04/2024","9,068.16","9,068.16","9,068.16","9,068.16","","-1.10%"
"01/03/2024","9,169.15","9,169.15","9,169.15","9,169.15","","-0.29%"
"01/02/2024","9,196.20","9,196.20","9,196.20","9,196.20","","-1.59%"
"12/29/2023","9,344.52","9,344.52","9,344.52","9,344.52","","3.43%"
"12/27/2023","9,034.64","9,034.64","9,034.64","9,034.64","","-0.51%"
"12/25/2023","9,081.08","9,081.08","9,081.08","9,081.08","","0.42%"
"12/22/2023","9,043.50","9,043.50","9,043.50","9,043.50","","-0.03%"
"12/21/2023","9,046.60","9,046.60","9,046.60","9,046.60","","0.74%"
"12/20/2023","8,980.48","8,980.48","8,980.48","8,980.48","","-0.88%"
"12/19/2023","9,060.58","9,060.58","9,060.58","9,060.58","","-0.22%"
"12/18/2023","9,080.13","9,080.13","9,080.13","9,080.13","","-0.65%"
