date;hongqiao_price;hongqiao_adj;hongqiao_volume
01.11.2018;5.260000;3.421798;8566465
02.11.2018;5.290000;3.515181;9522000
05.11.2018;5.270000;3.455150;5826500
06.11.2018;5.180000;3.468490;6606107
07.11.2018;5.240000;3.488500;7875000
08.11.2018;5.290000;3.515181;14147500
09.11.2018;5.390000;3.421798;14147007
12.11.2018;5.200000;3.501840;25508400
13.11.2018;5.200000;3.448479;14107500
14.11.2018;5.240000;3.395118;52229316
15.11.2018;5.130000;3.348427;30597500
16.11.2018;5.080000;3.355097;17127000
19.11.2018;5.030000;3.288395;15082000
20.11.2018;4.880000;3.061610;26581500
21.11.2018;4.500000;3.154992;24755298
22.11.2018;4.700000;3.188343;17958500
23.11.2018;4.740000;3.221693;9160000
26.11.2018;4.740000;3.301735;34961500
27.11.2018;4.960000;3.308406;11019500
28.11.2018;5.000000;3.348427;13475961
29.11.2018;5.020000;3.348427;23447571
30.11.2018;5.000000;3.235034;155860716
03.12.2018;4.900000;3.248374;24890343
04.12.2018;4.930000;3.188343;12805376
05.12.2018;4.760000;3.134981;14564500
06.12.2018;4.730000;3.001578;19683000
07.12.2018;4.490000;2.994907;12860000
10.12.2018;4.500000;3.014918;7077436
11.12.2018;4.500000;3.014918;7920872
12.12.2018;4.500000;2.994907;7640272
13.12.2018;4.500000;3.074950;10348000
14.12.2018;4.550000;3.068279;6927740
17.12.2018;4.530000;3.014918;5382000
18.12.2018;4.490000;3.001578;6581500
19.12.2018;4.500000;2.994907;2616348
20.12.2018;4.490000;3.001578;3830500
21.12.2018;4.500000;2.968226;3463779
24.12.2018;4.440000;2.888185;946500
27.12.2018;4.460000;2.974897;2805392
28.12.2018;4.460000;2.948216;2415300
31.12.2018;4.420000;2.968226;3645070
02.01.2019;4.450000;2.834823;8285000
03.01.2019;4.280000;2.774792;7402000
04.01.2019;4.160000;2.781462;7932500
07.01.2019;4.280000;2.874844;4238158
08.01.2019;4.370000;2.981567;8885207
09.01.2019;4.430000;3.175003;14982952
10.01.2019;4.840000;3.148322;8824080
11.01.2019;4.820000;3.181672;2928579
14.01.2019;4.790000;3.235034;6743500
15.01.2019;4.770000;3.348427;8317658
16.01.2019;5.060000;3.355097;9913243
17.01.2019;5.100000;3.368437;14466965
18.01.2019;5.070000;3.381778;6714065
21.01.2019;5.120000;3.348427;6358000
22.01.2019;5.090000;3.335087;3576000
23.01.2019;4.890000;3.295065;7146500
24.01.2019;4.870000;3.368437;4489294
25.01.2019;5.090000;3.368437;2289978
28.01.2019;5.100000;3.361767;5208500
29.01.2019;5.040000;3.308406;3956500
30.01.2019;4.960000;3.255044;4326600
31.01.2019;4.900000;3.335087;8054000
01.02.2019;5.060000;3.401788;8127107
04.02.2019;5.280000;3.468490;6224939
08.02.2019;5.120000;3.461820;13901790
11.02.2019;5.240000;3.421798;5261211
12.02.2019;5.230000;3.428469;3593633
13.02.2019;5.190000;3.428469;19689568
14.02.2019;5.180000;3.415128;16493000
15.02.2019;5.100000;3.335087;14857544
18.02.2019;4.960000;3.341756;14479430
19.02.2019;5.070000;3.341756;16932658
20.02.2019;5.030000;3.368437;12951000
21.02.2019;5.050000;3.361767;14791500
22.02.2019;5.040000;3.361767;20225272
25.02.2019;5.010000;3.348427;23174500
26.02.2019;5.040000;3.555202;43426500
27.02.2019;5.310000;3.615234;24282500
28.02.2019;5.500000;3.501840;8471848
01.03.2019;5.180000;3.435139;16175500
04.03.2019;5.190000;3.515181;17432000
05.03.2019;5.320000;3.501840;9276000
06.03.2019;5.220000;3.508511;11665238
07.03.2019;5.210000;3.455150;9604915
08.03.2019;5.100000;3.288395;10241211
11.03.2019;5.000000;3.381778;40159834
12.03.2019;5.070000;3.568542;21133767
13.03.2019;5.350000;3.555202;12089550
14.03.2019;5.300000;3.568542;11535772
15.03.2019;5.420000;3.588553;76759324
18.03.2019;5.450000;3.681935;24887000
19.03.2019;5.500000;3.601893;12073802
20.03.2019;5.470000;3.581882;7974200
21.03.2019;5.470000;3.635244;8882532
22.03.2019;5.500000;3.681935;12712500
25.03.2019;5.500000;3.728627;23002834
26.03.2019;5.600000;3.781988;24324908
27.03.2019;5.600000;3.882041;23866082
28.03.2019;5.800000;3.915391;29416924
29.03.2019;5.820000;3.942072;17215074
01.04.2019;6.000000;4.162188;14548220
02.04.2019;6.300000;4.242230;21303646
03.04.2019;6.220000;4.222219;10019798
04.04.2019;6.210000;4.188869;13626000
08.04.2019;6.350000;4.195539;17803348
09.04.2019;6.400000;4.382303;20476000
10.04.2019;6.430000;4.455675;24042753
11.04.2019;6.700000;4.502367;22086834
12.04.2019;6.850000;4.475686;23258000
15.04.2019;6.620000;4.282251;9071000
16.04.2019;6.300000;4.235560;12912383
17.04.2019;6.590000;4.355623;13300130
18.04.2019;6.580000;4.282251;8561103
23.04.2019;6.540000;4.202209;13285535
24.04.2019;6.460000;4.308931;11622861
25.04.2019;6.460000;4.242230;7289212
26.04.2019;6.230000;4.195539;7844700
29.04.2019;6.320000;4.288921;4099835
30.04.2019;6.370000;4.308931;7085734
02.05.2019;6.480000;4.135507;7423500
03.05.2019;6.270000;4.202209;2582500
06.05.2019;6.080000;3.975423;12838118
07.05.2019;6.080000;3.928732;12918672
08.05.2019;5.830000;3.868701;9704394
09.05.2019;5.900000;3.775318;6808606
10.05.2019;5.660000;3.848690;9400475
14.05.2019;5.420000;3.688606;12759114
15.05.2019;5.420000;3.801998;9157286
16.05.2019;5.700000;3.741967;6188176
17.05.2019;5.800000;3.661925;12255800
